elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-10.63;-0.91;1;0.13;-1.73
2;-3.54;-0.98;2;0.13;-1.7
3;-10.46;-0.88;3;0.13;-1.67
4;-3.5;-1;4;0.13;-1.65
5;-10.29;-0.85;5;0.13;-1.62
6;-3.44;-0.96;6;0.13;-1.6
7;-17.62;-0.69;7;0.13;-1.57
8;-17.34;-0.65;8;0.13;-1.54
9;-17.09;-0.65;9;0.13;-1.52
10;-30.99;-0.07;10;0.13;-1.49
11;-24.41;-0.35;11;0.13;-1.47
12;-30.78;-0.11;12;0.13;-1.44
13;-24.1;-0.37;13;0.13;-1.42
14;-30.54;-0.14;14;0.13;-1.39
15;-23.82;-0.4;15;0.13;-1.37
16;-10.12;0.48;16;0.13;-1.34
17;-3.36;0.77;17;0.13;-1.31
18;-10.49;-0.43;18;0.12;-1.29
19;-3.48;-0.24;19;0.12;-1.26
20;-10.65;-0.83;20;0.12;-1.24
21;-3.54;-0.79;21;0.12;-1.22
22;-17.01;-0.13;22;0.12;-1.19
23;-17.63;-0.8;23;0.12;-1.17
24;-17.88;-0.84;24;0.12;-1.14
25;-33.67;-2.73;25;0.12;-1.12
26;-24.11;-1.27;26;0.12;-1.09
27;-31.18;-0.05;27;0.12;-1.07
28;-31.64;-0.34;28;0.12;-1.04
29;-24.83;-0.5;29;0.12;-1.02
30;-25.36;-1.19;30;0.12;-1
31;24.41;-0.35;31;0.12;-0.97
32;30.99;-0.07;32;0.12;-0.95
33;24.1;-0.37;33;0.12;-0.93
34;30.78;-0.11;34;0.11;-0.9
35;23.82;-0.4;35;0.11;-0.88
36;30.54;-0.14;36;0.11;-0.86
37;17.62;-0.69;37;0.11;-0.84
38;17.34;-0.65;38;0.11;-0.81
39;17.09;-0.65;39;0.11;-0.79
40;3.54;-0.98;40;0.11;-0.77
41;10.63;-0.91;41;0.11;-0.75
42;3.44;-0.96;42;0.11;-0.73
43;3.5;-1;43;0.11;-0.7
44;10.29;-0.85;44;0.1;-0.68
45;10.46;-0.88;45;0.1;-0.66
46;24.11;-1.27;46;0.1;-0.64
47;33.67;-2.73;47;0.1;-0.62
48;25.36;-1.19;48;0.1;-0.6
49;31.64;-0.34;49;0.1;-0.58
50;24.83;-0.5;50;0.1;-0.56
51;31.18;-0.05;51;0.1;-0.54
52;17.01;-0.13;52;0.1;-0.52
53;17.63;-0.8;53;0.09;-0.5
54;17.88;-0.84;54;0.09;-0.48
55;3.36;0.77;55;0.09;-0.47
56;10.12;0.48;56;0.09;-0.45
57;3.48;-0.24;57;0.09;-0.43
58;10.49;-0.43;58;0.09;-0.41
59;3.54;-0.79;59;0.09;-0.4
60;10.65;-0.83;60;0.08;-0.38
61;-9.78;-0.82;61;0.08;-0.36
62;-3.26;-0.89;62;0.08;-0.34
63;-9.56;-0.81;63;0.08;-0.33
64;-9.67;-0.81;64;0.08;-0.31
65;-3.19;-0.89;65;0.08;-0.3
66;-3.22;-0.89;66;0.07;-0.28
67;-29.32;-0.17;67;0.07;-0.27
68;-22.81;-0.45;68;0.07;-0.25
69;-16.29;-0.67;69;0.07;-0.24
70;-28.67;-0.17;70;0.07;-0.23
71;-29;-0.17;71;0.07;-0.21
72;-15.93;-0.67;72;0.06;-0.2
73;-22.3;-0.45;73;0.06;-0.19
74;-16.11;-0.67;74;0.06;-0.17
75;-22.55;-0.45;75;0.06;-0.16
76;-10.14;-0.83;76;0.06;-0.15
77;-3.38;-0.93;77;0.05;-0.14
78;-9.89;-0.82;78;0.05;-0.13
79;-10.01;-0.82;79;0.05;-0.12
80;-3.3;-0.9;80;0.05;-0.11
81;-3.34;-0.91;81;0.05;-0.1
82;-16.87;-0.66;82;0.04;-0.09
83;-16.66;-0.66;83;0.04;-0.08
84;-16.48;-0.67;84;0.04;-0.07
85;-30.26;-0.16;85;0.04;-0.06
86;-23.56;-0.42;86;0.04;-0.06
87;-29.96;-0.17;87;0.03;-0.05
88;-23.31;-0.44;88;0.03;-0.04
89;-29.64;-0.17;89;0.03;-0.04
90;-23.06;-0.45;90;0.03;-0.03
91;22.81;-0.45;91;0.02;-0.03
92;29.32;-0.17;92;0.02;-0.02
93;22.55;-0.45;93;0.02;-0.02
94;29;-0.17;94;0.02;-0.01
95;22.3;-0.45;95;0.01;-0.01
96;28.67;-0.17;96;0.01;-0.01
97;16.29;-0.67;97;0.01;-0.01
98;16.11;-0.67;98;0.01;0
99;15.93;-0.67;99;0.01;0
100;3.26;-0.89;100;0;0
101;9.78;-0.82;101;0;0
102;3.19;-0.89;102;0;0
103;3.22;-0.89;103;0;0
104;9.56;-0.81;104;0;0
105;9.67;-0.81;105;0;0
106;23.56;-0.42;106;0;0
107;30.26;-0.16;107;0;0
108;23.06;-0.45;108;0;0
109;23.31;-0.44;109;0;0
110;29.64;-0.17;110;0;0
111;29.96;-0.17;111;0;0
112;16.87;-0.66;112;0;0
113;16.66;-0.66;113;-0.01;0
114;16.48;-0.67;114;-0.01;0
115;3.38;-0.93;115;-0.01;-0.01
116;10.14;-0.83;116;-0.01;-0.01
117;3.3;-0.9;117;-0.01;-0.01
118;3.34;-0.91;118;-0.02;-0.01
119;9.89;-0.82;119;-0.02;-0.02
120;10.01;-0.82;120;-0.02;-0.02
121;-9.13;-0.81;121;-0.02;-0.03
122;-3.04;-0.89;122;-0.03;-0.03
123;-8.91;-0.81;123;-0.03;-0.04
124;-9.02;-0.81;124;-0.03;-0.04
125;-2.97;-0.89;125;-0.03;-0.05
126;-3.01;-0.89;126;-0.04;-0.06
127;-15.21;-0.67;127;-0.04;-0.06
128;-15.03;-0.67;128;-0.04;-0.07
129;-14.85;-0.67;129;-0.04;-0.08
130;-27.38;-0.17;130;-0.04;-0.09
131;-21.29;-0.45;131;-0.05;-0.1
132;-27.05;-0.17;132;-0.05;-0.11
133;-21.04;-0.45;133;-0.05;-0.12
134;-26.73;-0.17;134;-0.05;-0.13
135;-20.79;-0.45;135;-0.05;-0.14
136;-9.45;-0.81;136;-0.06;-0.15
137;-3.15;-0.89;137;-0.06;-0.16
138;-9.34;-0.81;138;-0.06;-0.17
139;-3.11;-0.89;139;-0.06;-0.19
140;-9.23;-0.81;140;-0.06;-0.2
141;-3.08;-0.89;141;-0.07;-0.21
142;-15.75;-0.67;142;-0.07;-0.23
143;-15.57;-0.67;143;-0.07;-0.24
144;-15.39;-0.67;144;-0.07;-0.25
145;-28.35;-0.17;145;-0.07;-0.27
146;-22.05;-0.45;146;-0.07;-0.28
147;-27.7;-0.17;147;-0.08;-0.3
148;-28.03;-0.17;148;-0.08;-0.31
149;-21.55;-0.45;149;-0.08;-0.33
150;-21.8;-0.45;150;-0.08;-0.34
151;21.29;-0.45;151;-0.08;-0.36
152;27.38;-0.17;152;-0.08;-0.38
153;20.79;-0.45;153;-0.09;-0.4
154;21.04;-0.45;154;-0.09;-0.41
155;26.73;-0.17;155;-0.09;-0.43
156;27.05;-0.17;156;-0.09;-0.45
157;15.21;-0.67;157;-0.09;-0.47
158;15.03;-0.67;158;-0.09;-0.48
159;14.85;-0.67;159;-0.09;-0.5
160;3.04;-0.89;160;-0.1;-0.52
161;9.13;-0.81;161;-0.1;-0.54
162;2.97;-0.89;162;-0.1;-0.56
163;3.01;-0.89;163;-0.1;-0.58
164;8.91;-0.81;164;-0.1;-0.6
165;9.02;-0.81;165;-0.1;-0.62
166;22.05;-0.45;166;-0.1;-0.64
167;28.35;-0.17;167;-0.1;-0.66
168;21.8;-0.45;168;-0.1;-0.68
169;28.03;-0.17;169;-0.11;-0.7
170;21.55;-0.45;170;-0.11;-0.73
171;27.7;-0.17;171;-0.11;-0.75
172;15.75;-0.67;172;-0.11;-0.77
173;15.57;-0.67;173;-0.11;-0.79
174;15.39;-0.67;174;-0.11;-0.81
175;3.15;-0.89;175;-0.11;-0.84
176;9.45;-0.81;176;-0.11;-0.86
177;3.11;-0.89;177;-0.11;-0.88
178;9.34;-0.81;178;-0.11;-0.9
179;3.08;-0.89;179;-0.12;-0.93
180;9.23;-0.81;180;-0.12;-0.95
181;-8.37;-0.81;181;-0.12;-0.97
182;-2.79;-0.89;182;-0.12;-1
183;-8.26;-0.81;183;-0.12;-1.02
184;-2.75;-0.89;184;-0.12;-1.04
185;-8.15;-0.81;185;-0.12;-1.07
186;-2.72;-0.89;186;-0.12;-1.09
187;-13.95;-0.67;187;-0.12;-1.12
188;-13.77;-0.67;188;-0.12;-1.14
189;-13.59;-0.67;189;-0.12;-1.17
190;-25.11;-0.17;190;-0.12;-1.19
191;-19.53;-0.45;191;-0.12;-1.22
192;-24.79;-0.17;192;-0.12;-1.24
193;-19.28;-0.45;193;-0.12;-1.26
194;-24.46;-0.17;194;-0.12;-1.29
195;-19.03;-0.45;195;-0.13;-1.31
196;-8.69;-0.81;196;-0.13;-1.34
197;-8.8;-0.81;197;-0.13;-1.37
198;-2.9;-0.89;198;-0.13;-1.39
199;-2.93;-0.89;199;-0.13;-1.42
200;-8.59;-0.81;200;-0.13;-1.44
201;-2.86;-0.89;201;-0.13;-1.47
202;-8.48;-0.81;202;-0.13;-1.49
203;-2.83;-0.89;203;-0.13;-1.52
204;-26.08;-0.17;204;-0.13;-1.54
205;-26.41;-0.17;205;-0.13;-1.57
206;-20.29;-0.45;206;-0.13;-1.6
207;-20.54;-0.45;207;-0.13;-1.62
208;-14.49;-0.67;208;-0.13;-1.65
209;-14.67;-0.67;209;-0.13;-1.67
210;-25.43;-0.17;210;-0.13;-1.7
211;-25.76;-0.17;211;-0.13;-1.72
212;-14.13;-0.67;212;-0.1;-1.72
213;-19.78;-0.45;213;-0.08;-1.72
214;-14.31;-0.67;214;-0.05;-1.72
215;-20.03;-0.45;215;-0.03;-1.72
216;19.53;-0.45;216;0;-1.72
217;25.11;-0.17;217;0.03;-1.72
218;19.28;-0.45;218;0.05;-1.72
219;24.79;-0.17;219;0.08;-1.72
220;19.03;-0.45;220;0.1;-1.73
221;24.46;-0.17;221;-0.08;-0.54
222;13.95;-0.67;222;-0.06;-0.54
223;13.77;-0.67;223;-0.04;-0.54
224;13.59;-0.67;224;-0.02;-0.54
225;2.79;-0.89;225;0;-0.54
226;8.37;-0.81;226;0.02;-0.54
227;2.72;-0.89;227;0.04;-0.54
228;2.75;-0.89;228;0.06;-0.54
229;8.15;-0.81;229;0.08;-0.54
230;8.26;-0.81;230;-0.04;-0.15
231;20.54;-0.45;231;-0.03;-0.15
232;26.41;-0.17;232;-0.02;-0.15
233;20.29;-0.45;233;-0.01;-0.15
234;26.08;-0.17;234;0;-0.15
235;19.78;-0.45;235;0.01;-0.15
236;20.03;-0.45;236;0.02;-0.15
237;25.43;-0.17;237;0.03;-0.15
238;25.76;-0.17;238;0.04;-0.15
239;2.9;-0.89;239;-0.02;-0.04
240;2.93;-0.89;240;-0.02;-0.04
241;8.69;-0.81;241;-0.01;-0.04
242;8.8;-0.81;242;-0.01;-0.04
243;14.49;-0.67;243;0;-0.04
244;14.67;-0.67;244;0.01;-0.04
245;2.83;-0.89;245;0.01;-0.04
246;2.86;-0.89;246;0.02;-0.04
247;8.48;-0.81;247;0.02;-0.04
248;8.59;-0.81;248;-0.01;-0.01
249;14.13;-0.67;249;-0.01;-0.01
250;14.31;-0.67;250;-0.01;-0.01
251;-7.72;-0.81;251;0;-0.01
252;-2.57;-0.89;252;0;-0.01
253;-7.61;-0.81;253;0;-0.01
254;-2.54;-0.89;254;0.01;-0.01
255;-7.51;-0.81;255;0.01;-0.01
256;-2.5;-0.89;256;0.01;-0.01
257;-12.87;-0.67;257;0;-0.01
258;-12.69;-0.67;258;0;0
259;-12.51;-0.67;259;0;0
260;-23.17;-0.17;260;0;0
261;-18.02;-0.45;261;0;0
262;-22.84;-0.17;262;0;0
263;-17.77;-0.45;263;0;0
264;-22.52;-0.17;264;0;0
265;-17.51;-0.45;265;-0.01;0
266;-8.05;-0.81;266;0;0
267;-2.68;-0.89;267;0;-0.01
268;-7.94;-0.81;268;0;0
269;-2.65;-0.89;269;0;-0.01
270;-7.83;-0.81;270;-0.01;0
271;-2.61;-0.89;271;-0.01;-0.01
272;-13.41;-0.67;272;-0.01;-0.01
273;-13.23;-0.67;273;-0.01;-0.01
274;-13.05;-0.67;274;0;0
275;-24.14;-0.17;275;0;0
276;-18.77;-0.45;276;0;0
277;-23.49;-0.17;277;0;0
278;-23.81;-0.17;278;0;0
279;-18.27;-0.45;279;0;0
280;-18.52;-0.45;280;0;0
281;18.02;-0.45;281;0;0
282;23.17;-0.17;282;0.01;0
283;17.77;-0.45;283;0;0
284;22.84;-0.17;284;0;0
285;17.51;-0.45;285;0;0
286;22.52;-0.17;286;0.01;0
287;12.87;-0.67;287;0.01;-0.01
288;12.69;-0.67;288;0.01;-0.01
289;12.51;-0.67;289;0.01;-0.01
290;2.57;-0.89;290;0;0
291;7.72;-0.81;291;0;-0.01
292;2.5;-0.89;292;0;0
293;2.54;-0.89;293;0;-0.01
294;7.51;-0.81;294;0;0
295;7.61;-0.81;295;0;0
296;18.77;-0.45;296;0;0
297;24.14;-0.17;297;0;0
298;18.52;-0.45;298;0;0
299;23.81;-0.17;299;0;0
300;18.27;-0.45;300;0;0
301;23.49;-0.17;301;0;0
302;13.41;-0.67;302;0;-0.03
303;13.23;-0.67;303;0;-0.03
304;13.05;-0.67;304;0;-0.02
305;2.68;-0.89;305;0;-0.02
306;8.05;-0.81;306;0;-0.01
307;2.65;-0.89;307;0;-0.02
308;7.94;-0.81;308;-0.01;-0.02
309;2.61;-0.89;309;-0.01;-0.02
310;7.83;-0.81;310;-0.02;-0.02
311;-7.07;-0.81;311;-0.01;-0.03
312;-2.36;-0.89;312;-0.01;-0.03
313;-6.86;-0.81;313;0;-0.03
314;-6.97;-0.81;314;-0.01;-0.03
315;-2.29;-0.89;315;-0.02;-0.03
316;-2.32;-0.89;316;-0.01;-0.03
317;-21.22;-0.17;317;-0.02;-0.03
318;-16.51;-0.45;318;-0.02;-0.03
319;-11.79;-0.67;319;-0.01;-0.01
320;-20.57;-0.17;320;-0.01;-0.02
321;-20.9;-0.17;321;0;-0.01
322;-11.43;-0.67;322;0;-0.02
323;-16;-0.45;323;-0.01;-0.01
324;-11.61;-0.67;324;-0.01;-0.02
325;-16.25;-0.45;325;-0.01;-0.01
326;-7.4;-0.81;326;-0.02;-0.02
327;-2.47;-0.89;327;0.02;-0.02
328;-7.29;-0.81;328;0.01;-0.02
329;-2.43;-0.89;329;0.01;-0.02
330;-7.18;-0.81;330;0;-0.02
331;-2.39;-0.89;331;0.01;-0.03
332;-12.33;-0.67;332;0.02;-0.03
333;-12.15;-0.67;333;0.02;-0.03
334;-11.97;-0.67;334;0.02;-0.03
335;-22.19;-0.17;335;0.01;-0.03
336;-17.26;-0.45;336;0.01;-0.03
337;-21.87;-0.17;337;0;-0.03
338;-17.01;-0.45;338;0.01;-0.03
339;-21.55;-0.17;339;0.01;-0.01
340;-16.76;-0.45;340;0.01;-0.02
341;16.51;-0.45;341;0.01;-0.01
342;21.22;-0.17;342;0.02;-0.02
343;16;-0.45;343;0.01;-0.01
344;16.25;-0.45;344;0.01;-0.02
345;20.57;-0.17;345;0;-0.01
346;20.9;-0.17;346;0;-0.02
347;11.79;-0.67;347;-0.03;-0.08
348;11.61;-0.67;348;-0.03;-0.08
349;11.43;-0.67;349;-0.02;-0.08
350;2.36;-0.89;350;-0.01;-0.08
351;7.07;-0.81;351;0;-0.08
352;2.29;-0.89;352;0.01;-0.08
353;2.32;-0.89;353;0.02;-0.08
354;6.86;-0.81;354;0.03;-0.08
355;6.97;-0.81;355;0.03;-0.08
356;17.26;-0.45;356;0;-0.07
357;22.19;-0.17;357;0;-0.06
358;17.01;-0.45;358;0;-0.06
359;21.87;-0.17;359;0;-0.05
360;16.76;-0.45;360;0;-0.04
361;21.55;-0.17;361;-0.01;-0.06
362;12.33;-0.67;362;-0.01;-0.06
363;12.15;-0.67;363;-0.02;-0.06
364;11.97;-0.67;364;-0.03;-0.06
365;2.47;-0.89;365;-0.02;-0.06
366;7.4;-0.81;366;-0.02;-0.07
367;2.39;-0.89;367;-0.01;-0.06
368;2.43;-0.89;368;-0.01;-0.07
369;7.18;-0.81;369;-0.02;-0.06
370;7.29;-0.81;370;-0.02;-0.07
371;-6.43;-0.81;371;-0.03;-0.06
372;-2.14;-0.89;372;-0.03;-0.07
373;-6.32;-0.81;373;-0.01;-0.04
374;-2.11;-0.89;374;-0.01;-0.05
375;-6.21;-0.81;375;-0.01;-0.04
376;-2.07;-0.89;376;-0.01;-0.05
377;-19.28;-0.17;377;-0.02;-0.04
378;-14.99;-0.45;378;-0.02;-0.05
379;-10.71;-0.67;379;-0.02;-0.04
380;-18.63;-0.17;380;-0.03;-0.05
381;-18.95;-0.17;381;0.03;-0.06
382;-10.35;-0.67;382;0.02;-0.06
383;-14.49;-0.45;383;0.01;-0.06
384;-10.53;-0.67;384;0.01;-0.06
385;-14.74;-0.45;385;0.02;-0.06
386;-6.75;-0.81;386;0.02;-0.07
387;-2.25;-0.89;387;0.03;-0.06
388;-6.64;-0.81;388;0.03;-0.07
389;-2.21;-0.89;389;0.02;-0.06
390;-6.53;-0.81;390;0.02;-0.07
391;-2.18;-0.89;391;0.01;-0.06
392;-20.25;-0.17;392;0.01;-0.07
393;-15.75;-0.45;393;0.02;-0.04
394;-11.25;-0.67;394;0.02;-0.05
395;-19.6;-0.17;395;0.02;-0.04
396;-19.93;-0.17;396;0.03;-0.05
397;-10.89;-0.67;397;0.01;-0.04
398;-15.25;-0.45;398;0.01;-0.05
399;-11.07;-0.67;399;0.01;-0.04
400;-15.5;-0.45;400;0.01;-0.05
401;14.99;-0.45;401;0;-0.14
402;19.28;-0.17;402;0;-0.13
403;14.74;-0.45;403;0;-0.12
404;18.95;-0.17;404;0;-0.11
405;14.49;-0.45;405;0;-0.1
406;18.63;-0.17;406;0;-0.09
407;10.71;-0.67;407;-0.01;-0.12
408;10.53;-0.67;408;-0.02;-0.12
409;10.35;-0.67;409;-0.03;-0.12
410;2.14;-0.89;410;-0.04;-0.12
411;6.43;-0.81;411;-0.02;-0.13
412;2.07;-0.89;412;-0.02;-0.14
413;2.11;-0.89;413;-0.01;-0.13
414;6.21;-0.81;414;-0.01;-0.14
415;6.32;-0.81;415;-0.03;-0.13
416;15.75;-0.45;416;-0.03;-0.14
417;20.25;-0.17;417;-0.04;-0.13
418;15.5;-0.45;418;-0.04;-0.14
419;19.93;-0.17;419;-0.02;-0.09
420;15.25;-0.45;420;-0.02;-0.1
421;19.6;-0.17;421;-0.02;-0.11
422;11.25;-0.67;422;-0.01;-0.1
423;11.07;-0.67;423;-0.01;-0.09
424;10.89;-0.67;424;-0.01;-0.11
425;2.25;-0.89;425;-0.04;-0.1
426;6.75;-0.81;426;-0.03;-0.1
427;2.21;-0.89;427;-0.04;-0.09
428;6.64;-0.81;428;-0.03;-0.09
429;2.18;-0.89;429;-0.04;-0.11
430;6.53;-0.81;430;-0.03;-0.11
431;-5.67;-0.81;431;0.04;-0.12
432;-1.89;-0.89;432;0.03;-0.12
433;-5.56;-0.81;433;0.02;-0.12
434;-1.85;-0.89;434;0.01;-0.12
435;-5.45;-0.81;435;0.03;-0.13
436;-1.82;-0.89;436;0.03;-0.14
437;-17.01;-0.17;437;0.04;-0.13
438;-13.23;-0.45;438;0.04;-0.14
439;-9.45;-0.67;439;0.02;-0.13
440;-16.36;-0.17;440;0.02;-0.14
441;-16.69;-0.17;441;0.01;-0.13
442;-9.09;-0.67;442;0.01;-0.14
443;-12.73;-0.45;443;0.03;-0.09
444;-9.27;-0.67;444;0.03;-0.1
445;-12.98;-0.45;445;0.03;-0.11
446;-5.99;-0.81;446;0.04;-0.1
447;-6.1;-0.81;447;0.04;-0.09
448;-2;-0.89;448;0.04;-0.11
449;-2.03;-0.89;449;0.01;-0.1
450;-5.89;-0.81;450;0.02;-0.1
451;-1.96;-0.89;451;0.01;-0.09
452;-5.78;-0.81;452;0.02;-0.09
453;-1.93;-0.89;453;0.01;-0.11
454;-17.98;-0.17;454;0.02;-0.11
455;-18.31;-0.17;455;-0.06;-0.31
456;-13.99;-0.45;456;-0.05;-0.31
457;-14.24;-0.45;457;-0.03;-0.31
458;-9.99;-0.67;458;-0.02;-0.31
459;-10.17;-0.67;459;0;-0.31
460;-17.33;-0.17;460;0.02;-0.31
461;-17.66;-0.17;461;0.03;-0.31
462;-9.63;-0.67;462;0.05;-0.31
463;-13.48;-0.45;463;0.06;-0.31
464;-9.81;-0.67;464;-0.05;-0.23
465;-13.73;-0.45;465;-0.04;-0.22
466;13.23;-0.45;466;-0.03;-0.22
467;17.01;-0.17;467;-0.01;-0.22
468;12.98;-0.45;468;0;-0.22
469;16.69;-0.17;469;0.01;-0.22
470;12.73;-0.45;470;0.03;-0.22
471;16.36;-0.17;471;0.04;-0.22
472;9.45;-0.67;472;0.05;-0.23
473;9.27;-0.67;473;0;-0.21
474;9.09;-0.67;474;0;-0.2
475;1.89;-0.89;475;0;-0.19
476;5.67;-0.81;476;0;-0.17
477;1.82;-0.89;477;0;-0.16
478;1.85;-0.89;478;-0.01;-0.19
479;5.45;-0.81;479;-0.02;-0.19
480;5.56;-0.81;480;-0.04;-0.19
481;14.24;-0.45;481;-0.05;-0.19
482;18.31;-0.17;482;-0.03;-0.2
483;13.99;-0.45;483;-0.03;-0.21
484;17.98;-0.17;484;-0.01;-0.2
485;13.73;-0.45;485;-0.01;-0.21
486;17.66;-0.17;486;-0.04;-0.2
487;13.48;-0.45;487;-0.04;-0.21
488;17.33;-0.17;488;-0.05;-0.2
489;2;-0.89;489;-0.05;-0.21
490;2.03;-0.89;490;-0.02;-0.16
491;9.99;-0.67;491;-0.02;-0.17
492;5.99;-0.81;492;-0.01;-0.16
493;10.17;-0.67;493;-0.01;-0.17
494;6.1;-0.81;494;-0.03;-0.16
495;1.93;-0.89;495;-0.04;-0.17
496;1.96;-0.89;496;-0.05;-0.16
497;5.78;-0.81;497;-0.05;-0.17
498;5.89;-0.81;498;0.05;-0.19
499;9.63;-0.67;499;0.04;-0.19
500;9.81;-0.67;500;0.02;-0.19
501;-5.02;-0.81;501;0.01;-0.19
502;-1.67;-0.89;502;0.04;-0.2
503;-4.91;-0.81;503;0.04;-0.21
504;-1.64;-0.89;504;0.05;-0.2
505;-4.81;-0.81;505;0.05;-0.21
506;-1.6;-0.89;506;0.03;-0.2
507;-15.07;-0.17;507;0.03;-0.21
508;-11.72;-0.45;508;0.01;-0.2
509;-8.37;-0.67;509;0.01;-0.21
510;-14.42;-0.17;510;0.03;-0.16
511;-14.74;-0.17;511;0.04;-0.17
512;-11.21;-0.45;512;0.05;-0.16
513;-11.47;-0.45;513;0.05;-0.17
514;-8.01;-0.67;514;0.02;-0.16
515;-8.19;-0.67;515;0.02;-0.17
516;-5.35;-0.81;516;0.01;-0.16
517;-1.78;-0.89;517;0.01;-0.17
518;-5.24;-0.81;518;0;-0.3
519;-1.75;-0.89;519;0;-0.28
520;-5.13;-0.81;520;0;-0.27
521;-1.71;-0.89;521;0;-0.25
522;-16.04;-0.17;522;0;-0.24
523;-12.47;-0.45;523;-0.01;-0.27
524;-8.91;-0.67;524;-0.03;-0.27
525;-15.39;-0.17;525;-0.04;-0.27
526;-15.71;-0.17;526;-0.06;-0.27
527;-8.55;-0.67;527;-0.03;-0.28
528;-11.97;-0.45;528;-0.03;-0.3
529;-8.73;-0.67;529;-0.01;-0.28
530;-12.22;-0.45;530;-0.02;-0.3
