elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-24.04;-2.1;1;0.34;-4.53
2;-8.01;-2.28;2;0.34;-4.46
3;-23.62;-2.01;3;0.34;-4.39
4;-7.91;-2.31;4;0.34;-4.32
5;-23.2;-1.94;5;0.34;-4.25
6;-7.75;-2.21;6;0.34;-4.19
7;-39.8;-1.55;7;0.34;-4.12
8;-39.09;-1.45;8;0.34;-4.05
9;-38.49;-1.45;9;0.34;-3.98
10;-69.56;-0.1;10;0.33;-3.92
11;-54.98;-0.72;11;0.33;-3.85
12;-69.18;-0.2;12;0.33;-3.78
13;-54.24;-0.77;13;0.33;-3.72
14;-68.67;-0.29;14;0.33;-3.65
15;-53.6;-0.86;15;0.33;-3.58
16;-22.63;1.61;16;0.33;-3.52
17;-7.52;2.38;17;0.33;-3.45
18;-23.66;-0.84;18;0.33;-3.38
19;-7.85;-0.33;19;0.33;-3.32
20;-24.1;-1.91;20;0.33;-3.25
21;-8.01;-1.78;21;0.32;-3.19
22;-38.07;-0.06;22;0.32;-3.12
23;-39.74;-1.85;23;0.32;-3.06
24;-40.47;-1.95;24;0.32;-2.99
25;-76.2;-7.24;25;0.32;-2.93
26;-53.9;-3.18;26;0.32;-2.87
27;-69.89;-0.03;27;0.31;-2.8
28;-70.87;-0.77;28;0.31;-2.74
29;-55.98;-1.08;29;0.31;-2.68
30;-57.38;-2.96;30;0.31;-2.62
31;54.98;-0.72;31;0.31;-2.55
32;69.56;-0.1;32;0.3;-2.49
33;54.24;-0.77;33;0.3;-2.43
34;69.18;-0.2;34;0.3;-2.37
35;53.6;-0.86;35;0.3;-2.31
36;68.67;-0.29;36;0.3;-2.25
37;39.8;-1.55;37;0.29;-2.19
38;39.09;-1.45;38;0.29;-2.13
39;38.49;-1.45;39;0.29;-2.08
40;8.01;-2.28;40;0.29;-2.02
41;24.04;-2.1;41;0.28;-1.96
42;7.75;-2.21;42;0.28;-1.9
43;7.91;-2.31;43;0.28;-1.85
44;23.2;-1.94;44;0.27;-1.79
45;23.62;-2.01;45;0.27;-1.74
46;53.9;-3.18;46;0.27;-1.68
47;76.2;-7.24;47;0.27;-1.63
48;57.38;-2.96;48;0.26;-1.58
49;70.87;-0.77;49;0.26;-1.52
50;55.98;-1.08;50;0.26;-1.47
51;69.89;-0.03;51;0.25;-1.42
52;38.07;-0.06;52;0.25;-1.37
53;39.74;-1.85;53;0.25;-1.32
54;40.47;-1.95;54;0.24;-1.27
55;7.52;2.38;55;0.24;-1.22
56;22.63;1.61;56;0.24;-1.18
57;7.85;-0.33;57;0.23;-1.13
58;23.66;-0.84;58;0.23;-1.08
59;8.01;-1.78;59;0.22;-1.04
60;24.1;-1.91;60;0.22;-0.99
61;-22;-1.84;61;0.22;-0.95
62;-7.33;-2;62;0.21;-0.91
63;-21.51;-1.83;63;0.21;-0.86
64;-21.75;-1.83;64;0.2;-0.82
65;-7.17;-2;65;0.2;-0.78
66;-7.25;-2;66;0.19;-0.74
67;-65.97;-0.39;67;0.19;-0.7
68;-51.31;-1.02;68;0.19;-0.66
69;-36.66;-1.5;69;0.18;-0.63
70;-64.52;-0.39;70;0.18;-0.59
71;-65.25;-0.39;71;0.17;-0.56
72;-35.84;-1.51;72;0.17;-0.52
73;-50.18;-1.02;73;0.16;-0.49
74;-36.25;-1.51;74;0.16;-0.46
75;-50.75;-1.02;75;0.15;-0.43
76;-22.84;-1.89;76;0.15;-0.4
77;-7.62;-2.11;77;0.14;-0.37
78;-22.25;-1.84;78;0.14;-0.34
79;-22.53;-1.86;79;0.13;-0.31
80;-7.42;-2.02;80;0.13;-0.29
81;-7.52;-2.05;81;0.12;-0.26
82;-37.96;-1.47;82;0.12;-0.24
83;-37.5;-1.49;83;0.11;-0.21
84;-37.07;-1.5;84;0.1;-0.19
85;-68.07;-0.34;85;0.1;-0.17
86;-53.02;-0.94;86;0.09;-0.15
87;-67.39;-0.37;87;0.09;-0.13
88;-52.44;-0.98;88;0.08;-0.12
89;-66.69;-0.38;89;0.08;-0.1
90;-51.88;-1.01;90;0.07;-0.08
91;51.31;-1.02;91;0.06;-0.07
92;65.97;-0.39;92;0.06;-0.06
93;50.75;-1.02;93;0.05;-0.05
94;65.25;-0.39;94;0.05;-0.04
95;50.18;-1.02;95;0.04;-0.03
96;64.52;-0.39;96;0.03;-0.02
97;36.66;-1.5;97;0.03;-0.02
98;36.25;-1.51;98;0.02;-0.01
99;35.84;-1.51;99;0.01;-0.01
100;7.33;-2;100;0.01;0
101;22;-1.84;101;0;0
102;7.17;-2;102;0;0
103;7.25;-2;103;0;0
104;21.51;-1.83;104;0;0
105;21.75;-1.83;105;0;0
106;53.02;-0.94;106;0;0
107;68.07;-0.34;107;0;0
108;51.88;-1.01;108;0;0
109;52.44;-0.98;109;0;0
110;66.69;-0.38;110;0;0
111;67.39;-0.37;111;0;0
112;37.96;-1.47;112;-0.01;0
113;37.5;-1.49;113;-0.01;-0.01
114;37.07;-1.5;114;-0.02;-0.01
115;7.62;-2.11;115;-0.03;-0.02
116;22.84;-1.89;116;-0.03;-0.02
117;7.42;-2.02;117;-0.04;-0.03
118;7.52;-2.05;118;-0.05;-0.04
119;22.25;-1.84;119;-0.05;-0.05
120;22.53;-1.86;120;-0.06;-0.06
121;-20.53;-1.83;121;-0.06;-0.07
122;-6.84;-1.99;122;-0.07;-0.08
123;-20.05;-1.83;123;-0.08;-0.1
124;-20.29;-1.83;124;-0.08;-0.12
125;-6.68;-1.99;125;-0.09;-0.13
126;-6.76;-1.99;126;-0.09;-0.15
127;-34.22;-1.51;127;-0.1;-0.17
128;-33.82;-1.51;128;-0.1;-0.19
129;-33.41;-1.51;129;-0.11;-0.21
130;-61.6;-0.39;130;-0.12;-0.24
131;-47.91;-1.02;131;-0.12;-0.26
132;-60.87;-0.39;132;-0.13;-0.29
133;-47.34;-1.02;133;-0.13;-0.31
134;-60.14;-0.39;134;-0.14;-0.34
135;-46.78;-1.02;135;-0.14;-0.37
136;-21.26;-1.83;136;-0.15;-0.4
137;-7.09;-1.99;137;-0.15;-0.43
138;-21.02;-1.83;138;-0.16;-0.46
139;-7.01;-1.99;139;-0.16;-0.49
140;-20.78;-1.83;140;-0.17;-0.52
141;-6.93;-1.99;141;-0.17;-0.56
142;-35.44;-1.51;142;-0.18;-0.59
143;-35.03;-1.51;143;-0.18;-0.63
144;-34.63;-1.51;144;-0.19;-0.66
145;-63.79;-0.39;145;-0.19;-0.7
146;-49.61;-1.02;146;-0.19;-0.74
147;-62.33;-0.39;147;-0.2;-0.78
148;-63.06;-0.39;148;-0.2;-0.82
149;-48.48;-1.02;149;-0.21;-0.86
150;-49.05;-1.02;150;-0.21;-0.91
151;47.91;-1.02;151;-0.22;-0.95
152;61.6;-0.39;152;-0.22;-0.99
153;46.78;-1.02;153;-0.22;-1.04
154;47.34;-1.02;154;-0.23;-1.08
155;60.14;-0.39;155;-0.23;-1.13
156;60.87;-0.39;156;-0.24;-1.18
157;34.22;-1.51;157;-0.24;-1.22
158;33.82;-1.51;158;-0.24;-1.27
159;33.41;-1.51;159;-0.25;-1.32
160;6.84;-1.99;160;-0.25;-1.37
161;20.53;-1.83;161;-0.25;-1.42
162;6.68;-1.99;162;-0.26;-1.47
163;6.76;-1.99;163;-0.26;-1.52
164;20.05;-1.83;164;-0.26;-1.58
165;20.29;-1.83;165;-0.27;-1.63
166;49.61;-1.02;166;-0.27;-1.68
167;63.79;-0.39;167;-0.27;-1.74
168;49.05;-1.02;168;-0.27;-1.79
169;63.06;-0.39;169;-0.28;-1.85
170;48.48;-1.02;170;-0.28;-1.9
171;62.33;-0.39;171;-0.28;-1.96
172;35.44;-1.51;172;-0.29;-2.02
173;35.03;-1.51;173;-0.29;-2.08
174;34.63;-1.51;174;-0.29;-2.13
175;7.09;-1.99;175;-0.29;-2.19
176;21.26;-1.83;176;-0.3;-2.25
177;7.01;-1.99;177;-0.3;-2.31
178;21.02;-1.83;178;-0.3;-2.37
179;6.93;-1.99;179;-0.3;-2.43
180;20.78;-1.83;180;-0.3;-2.49
181;-18.83;-1.83;181;-0.31;-2.55
182;-6.28;-1.99;182;-0.31;-2.62
183;-18.59;-1.83;183;-0.31;-2.68
184;-6.2;-1.99;184;-0.31;-2.74
