node_id,sigma_xx
1041,1.3825
1056,1.715
901,1.87
1057,1.5550000000000002
1070,-0.4525
1064,-0.745
1059,-0.45249999999999996
1060,-0.645
1071,-0.1825
1058,-0.19999999999999998
215,-0.07
216,-0.08
1076,-1.8425
1080,-1.1825
1063,-0.4475
1077,-1.5575
1079,-1.1025
1062,-0.59
1081,-0.9675
1078,-1.24
1061,-0.6825
1098,-0.54
1091,-0.575
1099,-0.27749999999999997
217,-0.12
732,13.247499999999999
725,13.535
727,19.8725
724,20.305
733,6.4799999999999995
695,12.6725
734,12.959999999999999
740,13.825000000000001
736,20.735
770,11.807500000000001
776,11.52
772,17.28
769,17.7125
777,11.2325
773,16.8475
686,10.945
687,16.415
779,5.615
784,12.385
780,18.575000000000003
696,19.0075
785,12.095
781,18.145
824,10.08
830,9.7925
826,14.6875
823,15.120000000000001
831,9.504999999999999
827,14.254999999999999
794,9.215
795,13.825
793,4.6075
833,4.7524999999999995
838,10.655
834,15.985
839,10.3675
835,15.5525
874,8.065
880,7.775
876,11.665
873,12.094999999999999
881,7.4875
877,11.2325
677,7.2
678,10.8
883,3.745
890,4.32
892,4.465
891,8.64
893,8.9275
894,4.175
895,8.3525
955,6.9125000000000005
951,10.3675
729,26.495
723,27.0725
47,29.805
48,30.455
728,19.439999999999998
730,25.92
46,29.16
697,25.345
45,28.515
738,27.6475
49,31.105
774,23.04
768,23.615000000000002
41,25.92
42,26.564999999999998
775,22.465
40,25.275
688,21.8875
39,24.625
782,24.767500000000002
44,27.865000000000002
783,24.192500000000003
43,27.215
828,19.585
822,20.16
35,22.035
36,22.68
829,19.0075
34,21.384999999999998
796,18.4325
33,20.735
836,21.3125
38,23.975
837,20.735
37,23.325
878,15.5525
872,16.127499999999998
28,17.495
29,18.145
679,14.4
879,14.975
26,16.2
27,16.845
887,17.28
888,17.855
884,13.3925
885,12.959999999999999
31,19.44
32,20.085
886,12.5275
889,16.705
30,18.795
953,13.825
25,15.555
941,6.335
947,6.047499999999999
943,9.0725
940,9.504999999999999
948,5.76
944,8.64
911,5.4725
912,8.2075
950,2.8825
956,6.625
952,9.935
958,3.3125
986,4.61
992,4.32
988,6.4799999999999995
985,6.91
993,4.0325
989,6.05
902,3.745
903,5.62
995,2.0175
1000,5.185
996,7.775
1001,4.8975
997,7.3425
1003,2.4499999999999997
1047,2.5475
1040,2.8575
1042,3.925
1039,4.345
1009,0.7175
1048,0.9725
1010,1.8575
1049,2.2175
1054,3.4525
1050,5.1899999999999995
1055,3.1574999999999998
1051,4.765
1090,-0.365
1096,-0.7525
1092,-0.5900000000000001
1089,0.6525
1097,-0.5
1093,-1.0875
218,-0.22499999999999998
219,-0.89
1106,0.06000000000000001
1108,0.41500000000000004
1107,0.96
1109,1.45
1110,-0.3175
1111,0.345
945,12.094999999999999
939,12.6725
22,13.605
23,14.254999999999999
946,11.5175
21,12.955
913,10.9425
20,12.31
954,13.2475
24,14.905000000000001
990,8.6375
984,9.2125
16,9.715
17,10.364999999999998
991,8.0625
15,9.065000000000001
904,7.49
14,8.42
998,10.3675
19,11.665
999,9.79
18,11.015
1044,5.29
1038,5.82
10,5.965
11,6.55
1043,3.505
1045,4.7875
9,5.42
1011,3.085
1012,4.325
8,4.9350000000000005
1052,6.922499999999999
13,7.785
1053,6.365
12,7.16
1094,2.225
1088,2.9225
3,4.734999999999999
4,4.355
220,0.42999999999999994
1095,1.0699999999999998
1,2.34
2,3.65
1103,3.5549999999999997
1104,3.9125
1100,2.65
1101,2.16
6,4.275
7,4.54
1102,1.5474999999999999
1105,3.2475
5,4.1899999999999995
