elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-35.42;-3.03;1;0.4;-5.37
2;-11.8;-3.26;2;0.4;-5.29
3;-34.87;-2.93;3;0.4;-5.2
4;-11.66;-3.32;4;0.4;-5.12
5;-34.3;-2.84;5;0.4;-5.04
6;-11.46;-3.21;6;0.4;-4.96
7;-58.74;-2.3;7;0.4;-4.88
8;-57.79;-2.17;8;0.4;-4.8
9;-56.96;-2.17;9;0.4;-4.72
10;-103.29;-0.24;10;0.4;-4.64
11;-81.38;-1.17;11;0.4;-4.56
12;-102.61;-0.36;12;0.4;-4.49
13;-80.33;-1.22;13;0.39;-4.41
14;-101.8;-0.46;14;0.39;-4.33
15;-79.41;-1.33;15;0.39;-4.25
16;-33.73;1.61;16;0.39;-4.17
17;-11.21;2.55;17;0.39;-4.09
18;-34.97;-1.43;18;0.39;-4.01
19;-11.61;-0.8;19;0.39;-3.94
20;-35.51;-2.76;20;0.39;-3.86
21;-11.81;-2.62;21;0.38;-3.78
22;-56.7;-0.43;22;0.38;-3.7
23;-58.75;-2.66;23;0.38;-3.63
24;-59.6;-2.79;24;0.38;-3.55
25;-112.24;-9.1;25;0.38;-3.47
26;-80.36;-4.22;26;0.37;-3.4
27;-103.92;-0.17;27;0.37;-3.32
28;-105.46;-1.12;28;0.37;-3.25
29;-82.76;-1.65;29;0.37;-3.18
30;-84.52;-3.98;30;0.37;-3.1
31;81.38;-1.17;31;0.36;-3.03
32;103.29;-0.24;32;0.36;-2.96
33;80.33;-1.22;33;0.36;-2.88
34;102.61;-0.36;34;0.36;-2.81
35;79.41;-1.33;35;0.35;-2.74
36;101.8;-0.46;36;0.35;-2.67
37;58.74;-2.3;37;0.35;-2.6
38;57.79;-2.17;38;0.35;-2.53
39;56.96;-2.17;39;0.34;-2.46
40;11.8;-3.26;40;0.34;-2.39
41;35.42;-3.03;41;0.34;-2.32
42;11.46;-3.21;42;0.33;-2.26
43;11.66;-3.32;43;0.33;-2.19
44;34.3;-2.84;44;0.33;-2.12
45;34.87;-2.93;45;0.32;-2.06
46;80.36;-4.22;46;0.32;-2
47;112.24;-9.1;47;0.32;-1.93
48;84.52;-3.98;48;0.31;-1.87
49;105.46;-1.12;49;0.31;-1.81
50;82.76;-1.65;50;0.3;-1.74
51;103.92;-0.17;51;0.3;-1.68
52;56.7;-0.43;52;0.3;-1.62
53;58.75;-2.66;53;0.29;-1.57
54;59.6;-2.79;54;0.29;-1.51
55;11.21;2.55;55;0.28;-1.45
56;33.73;1.61;56;0.28;-1.39
57;11.61;-0.8;57;0.27;-1.34
58;34.97;-1.43;58;0.27;-1.28
59;11.81;-2.62;59;0.27;-1.23
60;35.51;-2.76;60;0.26;-1.18
61;-32.59;-2.72;61;0.26;-1.12
62;-10.86;-2.97;62;0.25;-1.07
63;-31.86;-2.72;63;0.25;-1.02
64;-32.22;-2.72;64;0.24;-0.97
65;-10.62;-2.96;65;0.24;-0.93
66;-10.74;-2.96;66;0.23;-0.88
67;-97.74;-0.58;67;0.23;-0.83
68;-76.02;-1.51;68;0.22;-0.79
69;-54.3;-2.23;69;0.21;-0.74
70;-95.58;-0.58;70;0.21;-0.7
71;-96.66;-0.58;71;0.2;-0.66
72;-53.1;-2.23;72;0.2;-0.62
73;-74.34;-1.51;73;0.19;-0.58
74;-53.7;-2.23;74;0.19;-0.54
75;-75.18;-1.51;75;0.18;-0.5
76;-33.8;-2.78;76;0.17;-0.47
77;-11.28;-3.09;77;0.17;-0.43
78;-32.96;-2.73;78;0.16;-0.4
79;-33.36;-2.74;79;0.16;-0.37
80;-10.99;-2.98;80;0.15;-0.34
81;-11.13;-3.02;81;0.14;-0.31
82;-56.22;-2.19;82;0.14;-0.28
83;-55.55;-2.21;83;0.13;-0.25
84;-54.92;-2.22;84;0.12;-0.23
85;-100.86;-0.52;85;0.12;-0.2
86;-78.54;-1.41;86;0.11;-0.18
87;-99.85;-0.55;87;0.1;-0.16
88;-77.7;-1.47;88;0.1;-0.14
89;-98.8;-0.57;89;0.09;-0.12
90;-76.86;-1.49;90;0.08;-0.1
91;76.02;-1.51;91;0.08;-0.08
92;97.74;-0.58;92;0.07;-0.07
93;75.18;-1.51;93;0.06;-0.06
94;96.66;-0.58;94;0.05;-0.04
95;74.34;-1.51;95;0.05;-0.03
96;95.58;-0.58;96;0.04;-0.02
97;54.3;-2.23;97;0.03;-0.02
98;53.7;-2.23;98;0.02;-0.01
99;53.1;-2.23;99;0.02;-0.01
100;10.86;-2.97;100;0.01;0
101;32.59;-2.72;101;0;0
102;10.62;-2.96;102;0;0
103;10.74;-2.96;103;0;0
104;31.86;-2.72;104;0;0
105;32.22;-2.72;105;0;0
106;78.54;-1.41;106;0;0
107;100.86;-0.52;107;0;0
108;76.86;-1.49;108;0;0
109;77.7;-1.47;109;0;0
110;98.8;-0.57;110;0;0
111;99.85;-0.55;111;0;0
112;56.22;-2.19;112;-0.01;0
113;55.55;-2.21;113;-0.02;-0.01
114;54.92;-2.22;114;-0.02;-0.01
115;11.28;-3.09;115;-0.03;-0.02
116;33.8;-2.78;116;-0.04;-0.02
117;10.99;-2.98;117;-0.05;-0.03
118;11.13;-3.02;118;-0.05;-0.04
119;32.96;-2.73;119;-0.06;-0.06
120;33.36;-2.74;120;-0.07;-0.07
121;-30.42;-2.71;121;-0.08;-0.08
122;-10.14;-2.95;122;-0.08;-0.1
123;-29.7;-2.71;123;-0.09;-0.12
124;-30.06;-2.71;124;-0.1;-0.14
125;-9.9;-2.95;125;-0.1;-0.16
126;-10.02;-2.95;126;-0.11;-0.18
127;-50.7;-2.24;127;-0.12;-0.2
128;-50.1;-2.24;128;-0.12;-0.23
129;-49.5;-2.24;129;-0.13;-0.25
130;-91.26;-0.58;130;-0.14;-0.28
131;-70.98;-1.52;131;-0.14;-0.31
132;-90.18;-0.58;132;-0.15;-0.34
133;-70.14;-1.52;133;-0.16;-0.37
134;-89.1;-0.58;134;-0.16;-0.4
135;-69.3;-1.52;135;-0.17;-0.43
136;-31.5;-2.71;136;-0.17;-0.47
137;-10.5;-2.95;137;-0.18;-0.5
138;-31.14;-2.71;138;-0.19;-0.54
139;-10.38;-2.95;139;-0.19;-0.58
140;-30.78;-2.71;140;-0.2;-0.62
141;-10.26;-2.95;141;-0.2;-0.66
142;-52.5;-2.23;142;-0.21;-0.7
143;-51.9;-2.24;143;-0.21;-0.74
144;-51.3;-2.24;144;-0.22;-0.79
145;-94.5;-0.58;145;-0.23;-0.83
146;-73.5;-1.52;146;-0.23;-0.88
147;-92.34;-0.58;147;-0.24;-0.93
148;-93.42;-0.58;148;-0.24;-0.97
149;-71.82;-1.52;149;-0.25;-1.02
150;-72.66;-1.52;150;-0.25;-1.07
151;70.98;-1.52;151;-0.26;-1.12
152;91.26;-0.58;152;-0.26;-1.18
153;69.3;-1.52;153;-0.27;-1.23
154;70.14;-1.52;154;-0.27;-1.28
155;89.1;-0.58;155;-0.27;-1.34
156;90.18;-0.58;156;-0.28;-1.39
157;50.7;-2.24;157;-0.28;-1.45
158;50.1;-2.24;158;-0.29;-1.51
159;49.5;-2.24;159;-0.29;-1.57
160;10.14;-2.95;160;-0.3;-1.62
161;30.42;-2.71;161;-0.3;-1.68
162;9.9;-2.95;162;-0.3;-1.74
163;10.02;-2.95;163;-0.31;-1.81
164;29.7;-2.71;164;-0.31;-1.87
165;30.06;-2.71;165;-0.32;-1.93
166;73.5;-1.52;166;-0.32;-2
167;94.5;-0.58;167;-0.32;-2.06
168;72.66;-1.52;168;-0.33;-2.12
169;93.42;-0.58;169;-0.33;-2.19
170;71.82;-1.52;170;-0.33;-2.26
171;92.34;-0.58;171;-0.34;-2.32
172;52.5;-2.23;172;-0.34;-2.39
173;51.9;-2.24;173;-0.34;-2.46
174;51.3;-2.24;174;-0.35;-2.53
175;10.5;-2.95;175;-0.35;-2.6
176;31.5;-2.71;176;-0.35;-2.67
177;10.38;-2.95;177;-0.35;-2.74
178;31.14;-2.71;178;-0.36;-2.81
179;10.26;-2.95;179;-0.36;-2.88
180;30.78;-2.71;180;-0.36;-2.96
181;-27.9;-2.72;181;-0.36;-3.03
182;-9.3;-2.96;182;-0.37;-3.1
183;-27.54;-2.72;183;-0.37;-3.18
184;-9.18;-2.96;184;-0.37;-3.25
185;-27.18;-2.72;185;-0.37;-3.32
186;-9.06;-2.96;186;-0.37;-3.4
187;-46.5;-2.24;187;-0.38;-3.47
188;-45.9;-2.24;188;-0.38;-3.55
189;-45.3;-2.24;189;-0.38;-3.63
190;-83.7;-0.58;190;-0.38;-3.7
191;-65.1;-1.52;191;-0.38;-3.78
192;-82.62;-0.58;192;-0.39;-3.86
193;-64.26;-1.52;193;-0.39;-3.94
194;-81.54;-0.58;194;-0.39;-4.01
195;-63.42;-1.52;195;-0.39;-4.09
196;-28.98;-2.71;196;-0.39;-4.17
197;-29.34;-2.71;197;-0.39;-4.25
198;-9.66;-2.95;198;-0.39;-4.33
199;-9.78;-2.95;199;-0.39;-4.41
200;-28.62;-2.71;200;-0.4;-4.49
201;-9.54;-2.95;201;-0.4;-4.56
202;-28.26;-2.71;202;-0.4;-4.64
203;-9.42;-2.95;203;-0.4;-4.72
204;-86.94;-0.58;204;-0.4;-4.8
205;-88.02;-0.58;205;-0.4;-4.88
206;-67.62;-1.52;206;-0.4;-4.96
207;-68.46;-1.52;207;-0.4;-5.04
208;-48.3;-2.24;208;-0.4;-5.12
209;-48.9;-2.24;209;-0.4;-5.2
210;-84.78;-0.58;210;-0.4;-5.28
