elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-42.82;-3.77;1;0.48;-6.44
2;-14.27;-4.1;2;0.48;-6.34
3;-42.04;-3.6;3;0.48;-6.24
4;-14.07;-4.15;4;0.48;-6.15
5;-41.26;-3.45;5;0.48;-6.05
6;-13.79;-3.95;6;0.48;-5.95
7;-70.84;-2.76;7;0.48;-5.86
8;-69.54;-2.57;8;0.48;-5.76
9;-68.44;-2.58;9;0.48;-5.67
10;-123.56;-0.14;10;0.48;-5.57
11;-97.76;-1.23;11;0.47;-5.47
12;-122.93;-0.34;12;0.47;-5.38
13;-96.43;-1.34;13;0.47;-5.28
14;-122.06;-0.51;14;0.47;-5.19
15;-95.29;-1.52;15;0.47;-5.09
16;-40.17;3.17;16;0.47;-5
17;-13.34;4.62;17;0.47;-4.91
18;-42.09;-1.43;18;0.47;-4.81
19;-13.97;-0.47;19;0.46;-4.72
20;-42.91;-3.41;20;0.46;-4.63
21;-14.28;-3.19;21;0.46;-4.53
22;-67.57;0.03;22;0.46;-4.44
23;-70.7;-3.32;23;0.46;-4.35
24;-72.08;-3.5;24;0.45;-4.26
25;-135.7;-13.5;25;0.45;-4.17
26;-95.63;-5.84;26;0.45;-4.08
27;-124.1;0;27;0.45;-3.99
28;-125.81;-1.37;28;0.44;-3.9
29;-99.59;-1.9;29;0.44;-3.81
30;-102.22;-5.41;30;0.44;-3.72
31;97.76;-1.23;31;0.44;-3.63
32;123.56;-0.14;32;0.43;-3.54
33;96.43;-1.34;33;0.43;-3.46
34;122.93;-0.34;34;0.43;-3.37
35;95.29;-1.52;35;0.42;-3.29
36;122.06;-0.51;36;0.42;-3.2
37;70.84;-2.76;37;0.42;-3.12
38;69.54;-2.57;38;0.41;-3.03
39;68.44;-2.58;39;0.41;-2.95
40;14.27;-4.1;40;0.41;-2.87
41;42.82;-3.77;41;0.4;-2.79
42;13.79;-3.95;42;0.4;-2.71
43;14.07;-4.15;43;0.39;-2.63
44;41.26;-3.45;44;0.39;-2.55
45;42.04;-3.6;45;0.39;-2.47
46;95.63;-5.84;46;0.38;-2.39
47;135.7;-13.5;47;0.38;-2.32
48;102.22;-5.41;48;0.37;-2.24
49;125.81;-1.37;49;0.37;-2.17
50;99.59;-1.9;50;0.36;-2.09
51;124.1;0;51;0.36;-2.02
52;67.57;0.03;52;0.35;-1.95
53;70.7;-3.32;53;0.35;-1.88
54;72.08;-3.5;54;0.34;-1.81
55;13.34;4.62;55;0.34;-1.74
56;40.17;3.17;56;0.33;-1.67
57;13.97;-0.47;57;0.33;-1.6
58;42.09;-1.43;58;0.32;-1.54
59;14.28;-3.19;59;0.32;-1.47
60;42.91;-3.41;60;0.31;-1.41
61;-39.11;-3.26;61;0.31;-1.35
62;-13.04;-3.56;62;0.3;-1.29
63;-38.23;-3.26;63;0.3;-1.23
64;-38.67;-3.26;64;0.29;-1.17
65;-12.74;-3.55;65;0.28;-1.11
66;-12.89;-3.55;66;0.28;-1.05
67;-117.28;-0.69;67;0.27;-1
68;-91.22;-1.81;68;0.26;-0.95
69;-65.17;-2.67;69;0.26;-0.89
70;-114.7;-0.7;70;0.25;-0.84
71;-115.99;-0.69;71;0.24;-0.79
72;-63.72;-2.68;72;0.24;-0.74
73;-89.21;-1.82;73;0.23;-0.7
74;-64.44;-2.68;74;0.22;-0.65
75;-90.21;-1.81;75;0.22;-0.61
76;-40.61;-3.36;76;0.21;-0.56
77;-13.56;-3.77;77;0.2;-0.52
78;-39.57;-3.28;78;0.19;-0.48
79;-40.06;-3.3;79;0.19;-0.44
80;-13.19;-3.59;80;0.18;-0.41
81;-13.36;-3.65;81;0.17;-0.37
82;-67.5;-2.61;82;0.16;-0.34
83;-66.67;-2.65;83;0.16;-0.3
84;-65.91;-2.66;84;0.15;-0.27
85;-121;-0.6;85;0.14;-0.24
86;-94.25;-1.66;86;0.13;-0.22
87;-119.81;-0.66;87;0.12;-0.19
88;-93.23;-1.74;88;0.12;-0.16
89;-118.56;-0.68;89;0.11;-0.14
90;-92.23;-1.79;90;0.1;-0.12
91;91.22;-1.81;91;0.09;-0.1
92;117.28;-0.69;92;0.08;-0.08
93;90.21;-1.81;93;0.07;-0.07
94;115.99;-0.69;94;0.06;-0.05
95;89.21;-1.82;95;0.06;-0.04
96;114.7;-0.7;96;0.05;-0.03
97;65.17;-2.67;97;0.04;-0.02
98;64.44;-2.68;98;0.03;-0.02
99;63.72;-2.68;99;0.02;-0.01
100;13.04;-3.56;100;0.01;-0.01
101;39.11;-3.26;101;0;0
102;12.74;-3.55;102;0;0
103;12.89;-3.55;103;0;0
104;38.23;-3.26;104;0;0
105;38.67;-3.26;105;0;0
106;94.25;-1.66;106;0;0
107;121;-0.6;107;0;0
108;92.23;-1.79;108;0;0
109;93.23;-1.74;109;0;0
110;118.56;-0.68;110;0;0
111;119.81;-0.66;111;0;0
112;67.5;-2.61;112;-0.01;-0.01
113;66.67;-2.65;113;-0.02;-0.01
114;65.91;-2.66;114;-0.03;-0.02
115;13.56;-3.77;115;-0.04;-0.02
116;40.61;-3.36;116;-0.05;-0.03
117;13.19;-3.59;117;-0.06;-0.04
118;13.36;-3.65;118;-0.06;-0.05
119;39.57;-3.28;119;-0.07;-0.07
120;40.06;-3.3;120;-0.08;-0.08
121;-36.5;-3.26;121;-0.09;-0.1
122;-12.17;-3.55;122;-0.1;-0.12
123;-35.64;-3.26;123;-0.11;-0.14
124;-36.07;-3.26;124;-0.12;-0.16
125;-11.88;-3.55;125;-0.12;-0.19
126;-12.02;-3.55;126;-0.13;-0.22
127;-60.84;-2.68;127;-0.14;-0.24
128;-60.12;-2.68;128;-0.15;-0.27
129;-59.4;-2.68;129;-0.16;-0.3
130;-109.51;-0.7;130;-0.16;-0.34
131;-85.18;-1.82;131;-0.17;-0.37
132;-108.22;-0.7;132;-0.18;-0.41
133;-84.17;-1.82;133;-0.19;-0.44
134;-106.92;-0.7;134;-0.19;-0.48
135;-83.16;-1.82;135;-0.2;-0.52
136;-37.8;-3.26;136;-0.21;-0.56
137;-12.6;-3.55;137;-0.22;-0.61
138;-37.37;-3.26;138;-0.22;-0.65
139;-12.46;-3.55;139;-0.23;-0.7
