elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-28.49;-2.49;1;0.37;-4.96
2;-9.49;-2.7;2;0.37;-4.88
3;-27.99;-2.39;3;0.37;-4.8
4;-9.37;-2.74;4;0.37;-4.73
5;-27.49;-2.29;5;0.37;-4.65
6;-9.19;-2.62;6;0.37;-4.58
7;-47.17;-1.84;7;0.37;-4.51
8;-46.33;-1.72;8;0.37;-4.43
9;-45.61;-1.72;9;0.37;-4.36
10;-82.44;-0.12;10;0.37;-4.29
11;-65.16;-0.85;11;0.37;-4.21
12;-81.99;-0.24;12;0.36;-4.14
13;-64.28;-0.91;13;0.36;-4.07
14;-81.39;-0.35;14;0.36;-3.99
15;-63.53;-1.02;15;0.36;-3.92
16;-26.82;1.91;16;0.36;-3.85
17;-8.91;2.83;17;0.36;-3.77
18;-28.04;-1;18;0.36;-3.7
19;-9.31;-0.39;19;0.36;-3.63
20;-28.56;-2.26;20;0.36;-3.56
21;-9.5;-2.12;21;0.35;-3.49
22;-45.12;-0.07;22;0.35;-3.42
23;-47.1;-2.19;23;0.35;-3.35
24;-47.96;-2.31;24;0.35;-3.28
25;-90.31;-8.58;25;0.35;-3.21
26;-63.88;-3.77;26;0.35;-3.14
27;-82.83;-0.04;27;0.34;-3.07
28;-84;-0.91;28;0.34;-3
29;-66.35;-1.28;29;0.34;-2.93
30;-68.01;-3.5;30;0.34;-2.86
31;65.16;-0.85;31;0.34;-2.79
32;82.44;-0.12;32;0.33;-2.73
33;64.28;-0.91;33;0.33;-2.66
34;81.99;-0.24;34;0.33;-2.59
35;63.53;-1.02;35;0.33;-2.53
36;81.39;-0.35;36;0.32;-2.46
37;47.17;-1.84;37;0.32;-2.4
38;46.33;-1.72;38;0.32;-2.33
39;45.61;-1.72;39;0.32;-2.27
40;9.49;-2.7;40;0.31;-2.21
41;28.49;-2.49;41;0.31;-2.14
42;9.19;-2.62;42;0.31;-2.08
43;9.37;-2.74;43;0.3;-2.02
44;27.49;-2.29;44;0.3;-1.96
45;27.99;-2.39;45;0.3;-1.9
46;63.88;-3.77;46;0.29;-1.84
47;90.31;-8.58;47;0.29;-1.78
48;68.01;-3.5;48;0.29;-1.72
49;84;-0.91;49;0.28;-1.67
50;66.35;-1.28;50;0.28;-1.61
51;82.83;-0.04;51;0.28;-1.55
52;45.12;-0.07;52;0.27;-1.5
53;47.1;-2.19;53;0.27;-1.44
54;47.96;-2.31;54;0.27;-1.39
55;8.91;2.83;55;0.26;-1.34
56;26.82;1.91;56;0.26;-1.29
57;9.31;-0.39;57;0.25;-1.23
58;28.04;-1;58;0.25;-1.18
59;9.5;-2.12;59;0.24;-1.13
60;28.56;-2.26;60;0.24;-1.09
61;-26.07;-2.18;61;0.24;-1.04
62;-8.69;-2.38;62;0.23;-0.99
63;-25.49;-2.17;63;0.23;-0.94
64;-25.78;-2.17;64;0.22;-0.9
65;-8.5;-2.36;65;0.22;-0.85
66;-8.59;-2.37;66;0.21;-0.81
67;-78.19;-0.46;67;0.21;-0.77
68;-60.81;-1.2;68;0.2;-0.73
69;-43.44;-1.78;69;0.2;-0.69
70;-76.46;-0.46;70;0.19;-0.65
71;-77.33;-0.46;71;0.19;-0.61
72;-42.48;-1.79;72;0.18;-0.57
73;-59.47;-1.21;73;0.18;-0.54
74;-42.96;-1.79;74;0.17;-0.5
75;-60.14;-1.21;75;0.17;-0.47
76;-27.06;-2.23;76;0.16;-0.43
77;-9.03;-2.5;77;0.16;-0.4
78;-26.38;-2.18;78;0.15;-0.37
79;-26.7;-2.2;79;0.14;-0.34
80;-8.79;-2.39;80;0.14;-0.31
81;-8.91;-2.43;81;0.13;-0.28
82;-44.99;-1.75;82;0.13;-0.26
83;-44.45;-1.77;83;0.12;-0.23
84;-43.94;-1.78;84;0.11;-0.21
85;-80.67;-0.41;85;0.11;-0.19
86;-62.83;-1.11;86;0.1;-0.17
87;-79.88;-0.44;87;0.1;-0.15
88;-62.16;-1.16;88;0.09;-0.13
89;-79.04;-0.45;89;0.08;-0.11
90;-61.48;-1.19;90;0.08;-0.09
91;60.81;-1.2;91;0.07;-0.08
92;78.19;-0.46;92;0.06;-0.06
93;60.14;-1.21;93;0.06;-0.05
94;77.33;-0.46;94;0.05;-0.04
95;59.47;-1.21;95;0.04;-0.03
96;76.46;-0.46;96;0.04;-0.02
97;43.44;-1.78;97;0.03;-0.02
98;42.96;-1.79;98;0.02;-0.01
99;42.48;-1.79;99;0.01;-0.01
100;8.69;-2.38;100;0.01;0
101;26.07;-2.18;101;0;0
102;8.5;-2.36;102;0;0
103;8.59;-2.37;103;0;0
104;25.49;-2.17;104;0;0
105;25.78;-2.17;105;0;0
106;62.83;-1.11;106;0;0
107;80.67;-0.41;107;0;0
108;61.48;-1.19;108;0;0
109;62.16;-1.16;109;0;0
110;79.04;-0.45;110;0;0
111;79.88;-0.44;111;0;0
112;44.99;-1.75;112;-0.01;0
113;44.45;-1.77;113;-0.01;-0.01
114;43.94;-1.78;114;-0.02;-0.01
115;9.03;-2.5;115;-0.03;-0.02
116;27.06;-2.23;116;-0.04;-0.02
117;8.79;-2.39;117;-0.04;-0.03
118;8.91;-2.43;118;-0.05;-0.04
119;26.38;-2.18;119;-0.06;-0.05
120;26.7;-2.2;120;-0.06;-0.06
121;-24.34;-2.17;121;-0.07;-0.08
122;-8.11;-2.36;122;-0.08;-0.09
123;-23.76;-2.17;123;-0.08;-0.11
124;-24.05;-2.17;124;-0.09;-0.13
125;-7.92;-2.36;125;-0.1;-0.15
126;-8.02;-2.36;126;-0.1;-0.17
127;-40.56;-1.79;127;-0.11;-0.19
128;-40.08;-1.79;128;-0.11;-0.21
129;-39.6;-1.79;129;-0.12;-0.23
130;-73.01;-0.46;130;-0.13;-0.26
131;-56.78;-1.21;131;-0.13;-0.28
