elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-32.12;-2.83;1;0.39;-5.18
2;-10.7;-3.08;2;0.39;-5.09
3;-31.53;-2.7;3;0.39;-5.02
4;-10.56;-3.11;4;0.39;-4.94
5;-30.95;-2.59;5;0.39;-4.86
6;-10.34;-2.96;6;0.38;-4.78
7;-53.13;-2.07;7;0.38;-4.71
8;-52.16;-1.93;8;0.38;-4.63
9;-51.33;-1.93;9;0.38;-4.55
10;-92.67;-0.1;10;0.38;-4.48
11;-73.32;-0.92;11;0.38;-4.4
12;-92.2;-0.26;12;0.38;-4.32
13;-72.32;-1;13;0.38;-4.25
14;-91.55;-0.38;14;0.38;-4.17
15;-71.47;-1.14;15;0.38;-4.09
16;-30.13;2.38;16;0.38;-4.02
17;-10.01;3.47;17;0.38;-3.94
18;-31.57;-1.07;18;0.37;-3.87
19;-10.48;-0.35;19;0.37;-3.79
20;-32.19;-2.56;20;0.37;-3.72
21;-10.71;-2.39;21;0.37;-3.64
22;-50.68;0.02;22;0.37;-3.57
23;-53.03;-2.49;23;0.37;-3.5
24;-54.06;-2.62;24;0.36;-3.42
25;-101.78;-10.12;25;0.36;-3.35
26;-71.72;-4.38;26;0.36;-3.28
27;-93.07;0;27;0.36;-3.2
28;-94.35;-1.02;28;0.36;-3.13
29;-74.69;-1.42;29;0.36;-3.06
30;-76.66;-4.06;30;0.35;-2.99
31;73.32;-0.92;31;0.35;-2.92
32;92.67;-0.1;32;0.35;-2.85
33;72.32;-1;33;0.35;-2.78
34;92.2;-0.26;34;0.34;-2.71
35;71.47;-1.14;35;0.34;-2.64
36;91.55;-0.38;36;0.34;-2.57
37;53.13;-2.07;37;0.34;-2.5
38;52.16;-1.93;38;0.33;-2.44
39;51.33;-1.93;39;0.33;-2.37
40;10.7;-3.08;40;0.33;-2.31
41;32.12;-2.83;41;0.32;-2.24
42;10.34;-2.96;42;0.32;-2.18
43;10.56;-3.11;43;0.32;-2.11
