elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-37.4;-3.27;1;0.45;-6.04
2;-12.46;-3.55;2;0.45;-5.94
3;-36.74;-3.13;3;0.45;-5.85
4;-12.3;-3.6;4;0.45;-5.76
5;-36.08;-3.01;5;0.45;-5.67
6;-12.06;-3.43;6;0.45;-5.58
7;-61.91;-2.41;7;0.45;-5.49
8;-60.81;-2.25;8;0.45;-5.4
9;-59.87;-2.26;9;0.45;-5.31
10;-108.2;-0.15;10;0.45;-5.22
11;-85.52;-1.12;11;0.45;-5.13
12;-107.61;-0.32;12;0.44;-5.04
13;-84.37;-1.2;13;0.44;-4.95
14;-106.83;-0.45;14;0.44;-4.87
15;-83.38;-1.34;15;0.44;-4.78
16;-35.21;2.51;16;0.44;-4.69
17;-11.7;3.71;17;0.44;-4.6
18;-36.8;-1.31;18;0.44;-4.51
19;-12.21;-0.51;19;0.44;-4.43
20;-37.48;-2.96;20;0.43;-4.34
21;-12.47;-2.78;21;0.43;-4.25
22;-59.22;-0.09;22;0.43;-4.16
23;-61.82;-2.88;23;0.43;-4.08
24;-62.95;-3.03;24;0.43;-3.99
25;-118.53;-11.26;25;0.42;-3.91
26;-83.85;-4.94;26;0.42;-3.82
27;-108.72;-0.05;27;0.42;-3.74
28;-110.25;-1.19;28;0.42;-3.65
29;-87.08;-1.68;29;0.41;-3.57
30;-89.26;-4.6;30;0.41;-3.49
31;85.52;-1.12;31;0.41;-3.41
32;108.2;-0.15;32;0.41;-3.32
33;84.37;-1.2;33;0.4;-3.24
34;107.61;-0.32;34;0.4;-3.16
35;83.38;-1.34;35;0.4;-3.08
36;106.83;-0.45;36;0.39;-3
37;61.91;-2.41;37;0.39;-2.92
38;60.81;-2.25;38;0.39;-2.84
39;59.87;-2.26;39;0.38;-2.77
40;12.46;-3.55;40;0.38;-2.69
41;37.4;-3.27;41;0.38;-2.61
42;12.06;-3.43;42;0.37;-2.54
43;12.3;-3.6;43;0.37;-2.46
44;36.08;-3.01;44;0.37;-2.39
45;36.74;-3.13;45;0.36;-2.32
46;83.85;-4.94;46;0.36;-2.24
47;118.53;-11.26;47;0.35;-2.17
48;89.26;-4.6;48;0.35;-2.1
49;110.25;-1.19;49;0.35;-2.03
50;87.08;-1.68;50;0.34;-1.96
51;108.72;-0.05;51;0.34;-1.89
52;59.22;-0.09;52;0.33;-1.83
53;61.82;-2.88;53;0.33;-1.76
54;62.95;-3.03;54;0.32;-1.69
55;11.7;3.71;55;0.32;-1.63
56;35.21;2.51;56;0.31;-1.57
57;12.21;-0.51;57;0.31;-1.5
58;36.8;-1.31;58;0.3;-1.44
59;12.47;-2.78;59;0.3;-1.38
60;37.48;-2.96;60;0.29;-1.32
61;-34.22;-2.86;61;0.29;-1.26
62;-11.41;-3.12;62;0.28;-1.21
63;-33.45;-2.85;63;0.28;-1.15
64;-33.83;-2.85;64;0.27;-1.1
65;-11.15;-3.1;65;0.27;-1.04
66;-11.28;-3.11;66;0.26;-0.99
67;-102.62;-0.6;67;0.25;-0.94
68;-79.82;-1.58;68;0.25;-0.89
69;-57.02;-2.34;69;0.24;-0.84
70;-100.36;-0.61;70;0.24;-0.79
71;-101.49;-0.61;71;0.23;-0.74
72;-55.75;-2.35;72;0.22;-0.7
73;-78.06;-1.59;73;0.22;-0.65
74;-56.39;-2.34;74;0.21;-0.61
75;-78.94;-1.59;75;0.2;-0.57
76;-35.52;-2.93;76;0.2;-0.53
77;-11.86;-3.28;77;0.19;-0.49
78;-34.62;-2.87;78;0.18;-0.45
79;-35.04;-2.89;79;0.18;-0.41
80;-11.54;-3.14;80;0.17;-0.38
81;-11.69;-3.19;81;0.16;-0.35
82;-59.05;-2.29;82;0.15;-0.31
83;-58.34;-2.32;83;0.15;-0.28
84;-57.67;-2.33;84;0.14;-0.26
85;-105.88;-0.53;85;0.13;-0.23
86;-82.47;-1.46;86;0.12;-0.2
87;-104.84;-0.58;87;0.12;-0.18
88;-81.58;-1.53;88;0.11;-0.15
89;-103.74;-0.6;89;0.1;-0.13
90;-80.7;-1.56;90;0.09;-0.11
91;79.82;-1.58;91;0.09;-0.09
92;102.62;-0.6;92;0.08;-0.08
93;78.94;-1.59;93;0.07;-0.06
94;101.49;-0.61;94;0.06;-0.05
95;78.06;-1.59;95;0.05;-0.04
96;100.36;-0.61;96;0.04;-0.03
97;57.02;-2.34;97;0.04;-0.02
98;56.39;-2.34;98;0.03;-0.01
99;55.75;-2.35;99;0.02;-0.01
100;11.41;-3.12;100;0.01;-0.01
101;34.22;-2.86;101;0;0
102;11.15;-3.1;102;0;0
103;11.28;-3.11;103;0;0
104;33.45;-2.85;104;0;0
105;33.83;-2.85;105;0;0
106;82.47;-1.46;106;0;0
107;105.88;-0.53;107;0;0
108;80.7;-1.56;108;0;0
109;81.58;-1.53;109;0;0
110;103.74;-0.6;110;0;0
111;104.84;-0.58;111;0;0
112;59.05;-2.29;112;-0.01;-0.01
113;58.34;-2.32;113;-0.02;-0.01
114;57.67;-2.33;114;-0.03;-0.01
115;11.86;-3.28;115;-0.04;-0.02
116;35.52;-2.93;116;-0.04;-0.03
117;11.54;-3.14;117;-0.05;-0.04
118;11.69;-3.19;118;-0.06;-0.05
119;34.62;-2.87;119;-0.07;-0.06
120;35.04;-2.89;120;-0.08;-0.08
121;-31.94;-2.85;121;-0.09;-0.09
122;-10.65;-3.1;122;-0.09;-0.11
123;-31.18;-2.85;123;-0.1;-0.13
124;-31.56;-2.85;124;-0.11;-0.15
125;-10.39;-3.1;125;-0.12;-0.18
126;-10.52;-3.1;126;-0.12;-0.2
127;-53.23;-2.35;127;-0.13;-0.23
128;-52.6;-2.35;128;-0.14;-0.26
129;-51.97;-2.35;129;-0.15;-0.28
130;-95.82;-0.61;130;-0.15;-0.31
131;-74.53;-1.59;131;-0.16;-0.35
132;-94.69;-0.61;132;-0.17;-0.38
133;-73.65;-1.59;133;-0.18;-0.41
134;-93.56;-0.61;134;-0.18;-0.45
135;-72.76;-1.59;135;-0.19;-0.49
136;-33.07;-2.85;136;-0.2;-0.53
137;-11.02;-3.1;137;-0.2;-0.57
138;-32.7;-2.85;138;-0.21;-0.61
139;-10.9;-3.1;139;-0.22;-0.65
140;-32.32;-2.85;140;-0.22;-0.7
141;-10.77;-3.1;141;-0.23;-0.74
142;-55.12;-2.35;142;-0.24;-0.79
143;-54.49;-2.35;143;-0.24;-0.84
144;-53.86;-2.35;144;-0.25;-0.89
145;-99.23;-0.61;145;-0.25;-0.94
146;-77.17;-1.59;146;-0.26;-0.99
147;-96.96;-0.61;147;-0.27;-1.04
148;-98.09;-0.61;148;-0.27;-1.1
149;-75.41;-1.59;149;-0.28;-1.15
150;-76.29;-1.59;150;-0.28;-1.21
151;74.53;-1.59;151;-0.29;-1.26
152;95.82;-0.61;152;-0.29;-1.32
153;72.76;-1.59;153;-0.3;-1.38
154;73.65;-1.59;154;-0.3;-1.44
155;93.56;-0.61;155;-0.31;-1.5
156;94.69;-0.61;156;-0.31;-1.57
157;53.23;-2.35;157;-0.32;-1.63
158;52.6;-2.35;158;-0.32;-1.69
159;51.97;-2.35;159;-0.33;-1.76
160;10.65;-3.1;160;-0.33;-1.83
161;31.94;-2.85;161;-0.34;-1.89
162;10.39;-3.1;162;-0.34;-1.96
163;10.52;-3.1;163;-0.35;-2.03
164;31.18;-2.85;164;-0.35;-2.1
165;31.56;-2.85;165;-0.35;-2.17
166;77.17;-1.59;166;-0.36;-2.24
167;99.23;-0.61;167;-0.36;-2.32
168;76.29;-1.59;168;-0.37;-2.39
169;98.09;-0.61;169;-0.37;-2.46
170;75.41;-1.59;170;-0.37;-2.54
171;96.96;-0.61;171;-0.38;-2.61
172;55.12;-2.35;172;-0.38;-2.69
173;54.49;-2.35;173;-0.38;-2.77
174;53.86;-2.35;174;-0.39;-2.84
175;11.02;-3.1;175;-0.39;-2.92
176;33.07;-2.85;176;-0.39;-3
177;10.9;-3.1;177;-0.4;-3.08
178;32.7;-2.85;178;-0.4;-3.16
179;10.77;-3.1;179;-0.4;-3.24
180;32.32;-2.85;180;-0.41;-3.32
181;-29.3;-2.85;181;-0.41;-3.41
182;-9.77;-3.1;182;-0.41;-3.49
183;-28.92;-2.85;183;-0.41;-3.57
184;-9.64;-3.1;184;-0.42;-3.65
