elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
139;-6.23;-1.77;139;-0.16;-0.47
140;-18.47;-1.63;140;-0.16;-0.51
141;-6.16;-1.77;141;-0.17;-0.54
142;-31.5;-1.34;142;-0.17;-0.57
143;-31.14;-1.34;143;-0.18;-0.61
144;-30.78;-1.34;144;-0.18;-0.64
145;-56.7;-0.35;145;-0.18;-0.68
146;-44.1;-0.91;146;-0.19;-0.72
147;-55.4;-0.35;147;-0.19;-0.76
148;-56.05;-0.35;148;-0.2;-0.8
149;-43.09;-0.91;149;-0.2;-0.84
150;-43.6;-0.91;150;-0.21;-0.88
151;42.59;-0.91;151;-0.21;-0.92
152;54.76;-0.35;152;-0.21;-0.96
153;41.58;-0.91;153;-0.22;-1.01
154;42.08;-0.91;154;-0.22;-1.05
155;53.46;-0.35;155;-0.22;-1.09
156;54.11;-0.35;156;-0.23;-1.14
157;30.42;-1.34;157;-0.23;-1.19
158;30.06;-1.34;158;-0.24;-1.23
159;29.7;-1.34;159;-0.24;-1.28
160;6.08;-1.77;160;-0.24;-1.33
161;18.25;-1.63;161;-0.25;-1.38
162;5.94;-1.77;162;-0.25;-1.43
163;6.01;-1.77;163;-0.25;-1.48
164;17.82;-1.63;164;-0.25;-1.53
165;18.04;-1.63;165;-0.26;-1.58
166;44.1;-0.91;166;-0.26;-1.63
167;56.7;-0.35;167;-0.26;-1.69
168;43.6;-0.91;168;-0.27;-1.74
169;56.05;-0.35;169;-0.27;-1.79
170;43.09;-0.91;170;-0.27;-1.85
171;55.4;-0.35;171;-0.27;-1.9
172;31.5;-1.34;172;-0.28;-1.96
173;31.14;-1.34;173;-0.28;-2.01
174;30.78;-1.34;174;-0.28;-2.07
175;6.3;-1.77;175;-0.28;-2.13
176;18.9;-1.63;176;-0.29;-2.18
177;6.23;-1.77;177;-0.29;-2.24
178;18.68;-1.63;178;-0.29;-2.3
