elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-26.61;-2.29;1;0.38;-5.04
2;-8.87;-2.48;2;0.38;-4.95
3;-26.18;-2.21;3;0.38;-4.88
4;-8.76;-2.52;4;0.38;-4.8
5;-25.74;-2.14;5;0.37;-4.73
6;-8.6;-2.42;6;0.37;-4.65
7;-44.11;-1.73;7;0.37;-4.58
8;-43.37;-1.62;8;0.37;-4.5
9;-42.73;-1.62;9;0.37;-4.43
10;-77.4;-0.16;10;0.37;-4.35
11;-61.05;-0.85;11;0.37;-4.28
12;-76.93;-0.26;12;0.37;-4.2
13;-60.25;-0.9;13;0.37;-4.13
14;-76.33;-0.34;14;0.37;-4.06
15;-59.56;-0.98;15;0.37;-3.98
16;-25.25;1.41;16;0.37;-3.91
17;-8.39;2.16;17;0.37;-3.83
18;-26.25;-1.03;18;0.36;-3.76
19;-8.71;-0.52;19;0.36;-3.69
20;-26.68;-2.09;20;0.36;-3.62
21;-8.87;-1.97;21;0.36;-3.54
22;-42.44;-0.23;22;0.36;-3.47
23;-44.09;-2.02;23;0.36;-3.4
24;-44.79;-2.12;24;0.35;-3.33
25;-84.35;-7.24;25;0.35;-3.26
26;-60.14;-3.29;26;0.35;-3.19
27;-77.85;-0.1;27;0.35;-3.12
28;-78.98;-0.84;28;0.35;-3.05
29;-62.12;-1.23;29;0.35;-2.98
30;-63.51;-3.09;30;0.34;-2.91
31;61.05;-0.85;31;0.34;-2.84
32;77.4;-0.16;32;0.34;-2.77
33;60.25;-0.9;33;0.34;-2.7
34;76.93;-0.26;34;0.33;-2.64
35;59.56;-0.98;35;0.33;-2.57
36;76.33;-0.34;36;0.33;-2.5
37;44.11;-1.73;37;0.33;-2.44
38;43.37;-1.62;38;0.32;-2.37
39;42.73;-1.62;39;0.32;-2.31
40;8.87;-2.48;40;0.32;-2.24
41;26.61;-2.29;41;0.31;-2.18
42;8.6;-2.42;42;0.31;-2.12
43;8.76;-2.52;43;0.31;-2.05
44;25.74;-2.14;44;0.31;-1.99
45;26.18;-2.21;45;0.3;-1.93
46;60.14;-3.29;46;0.3;-1.87
47;84.35;-7.24;47;0.3;-1.81
48;63.51;-3.09;48;0.29;-1.75
49;78.98;-0.84;49;0.29;-1.69
50;62.12;-1.23;50;0.28;-1.64
51;77.85;-0.1;51;0.28;-1.58
52;42.44;-0.23;52;0.28;-1.52
53;44.09;-2.02;53;0.27;-1.47
54;44.79;-2.12;54;0.27;-1.41
55;8.39;2.16;55;0.27;-1.36
56;25.25;1.41;56;0.26;-1.31
57;8.71;-0.52;57;0.26;-1.25
58;26.25;-1.03;58;0.25;-1.2
59;8.87;-1.97;59;0.25;-1.15
60;26.68;-2.09;60;0.24;-1.1
61;-24.44;-2.04;61;0.24;-1.05
62;-8.15;-2.23;62;0.24;-1.01
63;-23.89;-2.04;63;0.23;-0.96
64;-24.17;-2.04;64;0.23;-0.91
65;-7.97;-2.22;65;0.22;-0.87
66;-8.06;-2.22;66;0.22;-0.82
67;-73.3;-0.43;67;0.21;-0.78
68;-57.01;-1.13;68;0.21;-0.74
69;-40.73;-1.67;69;0.2;-0.7
70;-71.69;-0.43;70;0.2;-0.66
71;-72.49;-0.43;71;0.19;-0.62
72;-39.82;-1.68;72;0.19;-0.58
73;-55.75;-1.14;73;0.18;-0.54
74;-40.28;-1.67;74;0.17;-0.51
75;-56.38;-1.13;75;0.17;-0.47
76;-25.36;-2.09;76;0.16;-0.44
77;-8.46;-2.33;77;0.16;-0.41
78;-24.72;-2.05;78;0.15;-0.38
79;-25.02;-2.06;79;0.15;-0.35
80;-8.24;-2.24;80;0.14;-0.32
81;-8.35;-2.27;81;0.13;-0.29
82;-42.17;-1.64;82;0.13;-0.26
83;-41.66;-1.66;83;0.12;-0.24
84;-41.19;-1.67;84;0.12;-0.21
85;-75.64;-0.39;85;0.11;-0.19
86;-58.91;-1.05;86;0.1;-0.17
