elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-32;-2.78;1;0.42;-5.58
2;-10.66;-3;2;0.42;-5.49
3;-31.45;-2.67;3;0.42;-5.4
4;-10.52;-3.05;4;0.42;-5.32
5;-30.91;-2.57;5;0.41;-5.24
6;-10.33;-2.92;6;0.41;-5.15
7;-53;-2.07;7;0.41;-5.07
8;-52.09;-1.94;8;0.41;-4.99
9;-51.3;-1.94;9;0.41;-4.9
10;-92.81;-0.16;10;0.41;-4.82
11;-73.28;-0.99;11;0.41;-4.74
12;-92.28;-0.29;12;0.41;-4.66
13;-72.31;-1.05;13;0.41;-4.57
14;-91.58;-0.4;14;0.41;-4.49
15;-71.47;-1.16;15;0.41;-4.41
16;-30.23;1.92;16;0.41;-4.33
17;-10.04;2.89;17;0.4;-4.25
18;-31.52;-1.18;18;0.4;-4.17
19;-10.46;-0.53;19;0.4;-4.09
20;-32.07;-2.52;20;0.4;-4
21;-10.67;-2.37;21;0.4;-3.92
22;-50.84;-0.18;22;0.4;-3.84
23;-52.95;-2.44;23;0.4;-3.77
24;-53.85;-2.57;24;0.39;-3.69
25;-101.41;-9.17;25;0.39;-3.61
26;-72.02;-4.1;26;0.39;-3.53
27;-93.3;-0.08;27;0.39;-3.45
28;-94.64;-1.02;28;0.38;-3.37
29;-74.59;-1.46;29;0.38;-3.3
30;-76.36;-3.83;30;0.38;-3.22
31;73.28;-0.99;31;0.38;-3.14
32;92.81;-0.16;32;0.38;-3.07
33;72.31;-1.05;33;0.37;-2.99
34;92.28;-0.29;34;0.37;-2.92
35;71.47;-1.16;35;0.37;-2.84
36;91.58;-0.4;36;0.36;-2.77
37;53;-2.07;37;0.36;-2.7
38;52.09;-1.94;38;0.36;-2.63
39;51.3;-1.94;39;0.36;-2.55
40;10.66;-3;40;0.35;-2.48
41;32;-2.78;41;0.35;-2.41
42;10.33;-2.92;42;0.35;-2.34
43;10.52;-3.05;43;0.34;-2.27
44;30.91;-2.57;44;0.34;-2.21
45;31.45;-2.67;45;0.33;-2.14
46;72.02;-4.1;46;0.33;-2.07
47;101.41;-9.17;47;0.33;-2.01
48;76.36;-3.83;48;0.32;-1.94
49;94.64;-1.02;49;0.32;-1.88
50;74.59;-1.46;50;0.32;-1.81
51;93.3;-0.08;51;0.31;-1.75
52;50.84;-0.18;52;0.31;-1.69
53;52.95;-2.44;53;0.3;-1.63
54;53.85;-2.57;54;0.3;-1.56
55;10.04;2.89;55;0.29;-1.51
56;30.23;1.92;56;0.29;-1.45
57;10.46;-0.53;57;0.28;-1.39
58;31.52;-1.18;58;0.28;-1.33
59;10.67;-2.37;59;0.28;-1.28
60;32.07;-2.52;60;0.27;-1.22
61;-29.33;-2.45;61;0.27;-1.17
62;-9.78;-2.67;62;0.26;-1.11
63;-28.67;-2.44;63;0.26;-1.06
64;-29;-2.44;64;0.25;-1.01
65;-9.56;-2.66;65;0.24;-0.96
66;-9.67;-2.66;66;0.24;-0.91
67;-87.96;-0.52;67;0.23;-0.87
68;-68.42;-1.36;68;0.23;-0.82
69;-48.87;-2.01;69;0.22;-0.77
70;-86.02;-0.52;70;0.22;-0.73
71;-86.99;-0.52;71;0.21;-0.69
72;-47.79;-2.01;72;0.21;-0.64
73;-66.91;-1.36;73;0.2;-0.6
74;-48.33;-2.01;74;0.19;-0.56
75;-67.66;-1.36;75;0.19;-0.52
76;-30.44;-2.51;76;0.18;-0.49
77;-10.16;-2.8;77;0.18;-0.45
78;-29.67;-2.46;78;0.17;-0.42
79;-30.03;-2.47;79;0.16;-0.38
80;-9.89;-2.69;80;0.16;-0.35
81;-10.02;-2.73;81;0.15;-0.32
82;-50.61;-1.97;82;0.14;-0.29
83;-50;-1.99;83;0.14;-0.26
84;-49.43;-2;84;0.13;-0.24
85;-90.76;-0.46;85;0.12;-0.21
86;-70.69;-1.26;86;0.12;-0.19
87;-89.86;-0.5;87;0.11;-0.16
88;-69.93;-1.31;88;0.1;-0.14
89;-88.92;-0.51;89;0.09;-0.12
90;-69.17;-1.34;90;0.09;-0.1
91;68.42;-1.36;91;0.08;-0.09
92;87.96;-0.52;92;0.07;-0.07
93;67.66;-1.36;93;0.06;-0.06
94;86.99;-0.52;94;0.06;-0.05
95;66.91;-1.36;95;0.05;-0.04
96;86.02;-0.52;96;0.04;-0.03
97;48.87;-2.01;97;0.03;-0.02
98;48.33;-2.01;98;0.02;-0.01
99;47.79;-2.01;99;0.02;-0.01
100;9.78;-2.67;100;0.01;0
101;29.33;-2.45;101;0;0
102;9.56;-2.66;102;0;0
103;9.67;-2.66;103;0;0
104;28.67;-2.44;104;0;0
105;29;-2.44;105;0;0
106;70.69;-1.26;106;0;0
107;90.76;-0.46;107;0;0
108;69.17;-1.34;108;0;0
109;69.93;-1.31;109;0;0
110;88.92;-0.51;110;0;0
111;89.86;-0.5;111;0;0
112;50.61;-1.97;112;-0.01;0
113;50;-1.99;113;-0.02;-0.01
114;49.43;-2;114;-0.02;-0.01
115;10.16;-2.8;115;-0.03;-0.02
116;30.44;-2.51;116;-0.04;-0.03
117;9.89;-2.69;117;-0.05;-0.04
118;10.02;-2.73;118;-0.06;-0.05
119;29.67;-2.46;119;-0.06;-0.06
120;30.03;-2.47;120;-0.07;-0.07
121;-27.38;-2.44;121;-0.08;-0.09
122;-9.13;-2.66;122;-0.09;-0.1
123;-26.73;-2.44;123;-0.09;-0.12
124;-27.05;-2.44;124;-0.1;-0.14
125;-8.91;-2.66;125;-0.11;-0.16
126;-9.02;-2.66;126;-0.12;-0.19
127;-45.63;-2.01;127;-0.12;-0.21
128;-45.09;-2.01;128;-0.13;-0.24
129;-44.55;-2.01;129;-0.14;-0.26
130;-82.13;-0.52;130;-0.14;-0.29
131;-63.88;-1.36;131;-0.15;-0.32
132;-81.16;-0.52;132;-0.16;-0.35
133;-63.13;-1.36;133;-0.16;-0.38
134;-80.19;-0.52;134;-0.17;-0.42
135;-62.37;-1.36;135;-0.18;-0.45
136;-28.35;-2.44;136;-0.18;-0.49
137;-9.45;-2.66;137;-0.19;-0.52
138;-28.03;-2.44;138;-0.19;-0.56
139;-9.34;-2.66;139;-0.2;-0.6
140;-27.7;-2.44;140;-0.21;-0.64
141;-9.23;-2.66;141;-0.21;-0.69
142;-47.25;-2.01;142;-0.22;-0.73
143;-46.71;-2.01;143;-0.22;-0.77
144;-46.17;-2.01;144;-0.23;-0.82
145;-85.05;-0.52;145;-0.23;-0.87
146;-66.15;-1.36;146;-0.24;-0.91
147;-83.11;-0.52;147;-0.24;-0.96
148;-84.08;-0.52;148;-0.25;-1.01
149;-64.64;-1.36;149;-0.26;-1.06
150;-65.39;-1.36;150;-0.26;-1.11
151;63.88;-1.36;151;-0.27;-1.17
152;82.13;-0.52;152;-0.27;-1.22
153;62.37;-1.36;153;-0.28;-1.28
154;63.13;-1.36;154;-0.28;-1.33
155;80.19;-0.52;155;-0.28;-1.39
156;81.16;-0.52;156;-0.29;-1.45
157;45.63;-2.01;157;-0.29;-1.51
158;45.09;-2.01;158;-0.3;-1.56
159;44.55;-2.01;159;-0.3;-1.63
160;9.13;-2.66;160;-0.31;-1.69
161;27.38;-2.44;161;-0.31;-1.75
162;8.91;-2.66;162;-0.32;-1.81
163;9.02;-2.66;163;-0.32;-1.88
164;26.73;-2.44;164;-0.32;-1.94
165;27.05;-2.44;165;-0.33;-2.01
166;66.15;-1.36;166;-0.33;-2.07
167;85.05;-0.52;167;-0.33;-2.14
168;65.39;-1.36;168;-0.34;-2.21
169;84.08;-0.52;169;-0.34;-2.27
170;64.64;-1.36;170;-0.35;-2.34
171;83.11;-0.52;171;-0.35;-2.41
172;47.25;-2.01;172;-0.35;-2.48
173;46.71;-2.01;173;-0.36;-2.55
174;46.17;-2.01;174;-0.36;-2.63
175;9.45;-2.66;175;-0.36;-2.7
176;28.35;-2.44;176;-0.36;-2.77
177;9.34;-2.66;177;-0.37;-2.84
178;28.03;-2.44;178;-0.37;-2.92
179;9.23;-2.66;179;-0.37;-2.99
180;27.7;-2.44;180;-0.38;-3.07
181;-25.11;-2.44;181;-0.38;-3.14
182;-8.37;-2.66;182;-0.38;-3.22
183;-24.79;-2.44;183;-0.38;-3.3
184;-8.26;-2.66;184;-0.38;-3.37
185;-24.46;-2.44;185;-0.39;-3.45
186;-8.15;-2.66;186;-0.39;-3.53
187;-41.85;-2.01;187;-0.39;-3.61
188;-41.31;-2.01;188;-0.39;-3.69
189;-40.77;-2.01;189;-0.4;-3.77
190;-75.33;-0.52;190;-0.4;-3.84
191;-58.59;-1.36;191;-0.4;-3.92
192;-74.36;-0.52;192;-0.4;-4
193;-57.83;-1.36;193;-0.4;-4.09
194;-73.39;-0.52;194;-0.4;-4.17
195;-57.08;-1.36;195;-0.4;-4.25
196;-26.08;-2.44;196;-0.41;-4.33
197;-26.41;-2.44;197;-0.41;-4.41
198;-8.69;-2.66;198;-0.41;-4.49
199;-8.8;-2.66;199;-0.41;-4.57
200;-25.76;-2.44;200;-0.41;-4.66
201;-8.59;-2.66;201;-0.41;-4.74
202;-25.43;-2.44;202;-0.41;-4.82
203;-8.48;-2.66;203;-0.41;-4.9
204;-78.25;-0.52;204;-0.41;-4.99
205;-79.22;-0.52;205;-0.41;-5.07
206;-60.86;-1.36;206;-0.41;-5.15
207;-61.61;-1.36;207;-0.41;-5.24
208;-43.47;-2.01;208;-0.41;-5.32
209;-44.01;-2.01;209;-0.41;-5.4
210;-76.3;-0.52;210;-0.41;-5.49
211;-77.27;-0.52;211;-0.41;-5.57
212;-42.39;-2.01;212;-0.33;-5.57
213;-59.35;-1.36;213;-0.25;-5.57
214;-42.93;-2.01;214;-0.17;-5.57
215;-60.1;-1.36;215;-0.08;-5.57
216;58.59;-1.36;216;0;-5.57
217;75.33;-0.52;217;0.08;-5.57
218;57.83;-1.36;218;0.17;-5.57
219;74.36;-0.52;219;0.25;-5.57
220;57.08;-1.36;220;0.33;-5.57
221;73.39;-0.52;221;-0.25;-1.75
222;41.85;-2.01;222;-0.19;-1.75
223;41.31;-2.01;223;-0.12;-1.75
224;40.77;-2.01;224;-0.06;-1.75
225;8.37;-2.66;225;0;-1.75
226;25.11;-2.44;226;0.06;-1.75
227;8.15;-2.66;227;0.12;-1.75
228;8.26;-2.66;228;0.19;-1.75
229;24.46;-2.44;229;0.25;-1.75
230;24.79;-2.44;230;-0.14;-0.49
231;61.61;-1.36;231;-0.11;-0.48
232;79.22;-0.52;232;-0.07;-0.48
233;60.86;-1.36;233;-0.04;-0.48
234;78.25;-0.52;234;0;-0.48
235;59.35;-1.36;235;0.04;-0.48
236;60.1;-1.36;236;0.07;-0.48
237;76.3;-0.52;237;0.11;-0.48
238;77.27;-0.52;238;0.14;-0.49
239;8.69;-2.66;239;-0.07;-0.12
240;8.8;-2.66;240;-0.06;-0.12
241;26.08;-2.44;241;-0.04;-0.12
242;26.41;-2.44;242;-0.02;-0.12
243;43.47;-2.01;243;0;-0.12
244;44.01;-2.01;244;0.02;-0.12
245;8.48;-2.66;245;0.04;-0.12
246;8.59;-2.66;246;0.06;-0.12
247;25.43;-2.44;247;0.07;-0.12
248;25.76;-2.44;248;-0.04;-0.03
249;42.39;-2.01;249;-0.03;-0.03
250;42.93;-2.01;250;-0.02;-0.03
251;-23.17;-2.44;251;-0.01;-0.03
252;-7.72;-2.66;252;0;-0.03
253;-22.84;-2.44;253;0.01;-0.03
254;-7.61;-2.66;254;0.02;-0.03
255;-22.52;-2.44;255;0.03;-0.03
256;-7.51;-2.66;256;0.04;-0.03
257;-38.61;-2.01;257;0;-0.02
258;-38.07;-2.01;258;0;-0.01
259;-37.53;-2.01;259;0;-0.01
260;-69.5;-0.52;260;0;0
261;-54.05;-1.36;261;0;0
262;-68.53;-0.52;262;0;-0.01
263;-53.3;-1.36;263;-0.01;-0.01
264;-67.55;-0.52;264;-0.01;-0.01
265;-52.54;-1.36;265;-0.02;-0.01
266;-24.14;-2.44;266;-0.01;-0.01
267;-8.05;-2.66;267;-0.02;-0.02
268;-23.81;-2.44;268;-0.01;-0.01
269;-7.94;-2.66;269;-0.01;-0.02
270;-23.49;-2.44;270;-0.02;-0.01
271;-7.83;-2.66;271;-0.02;-0.02
272;-40.23;-2.01;272;-0.03;-0.02
273;-39.69;-2.01;273;-0.03;-0.02
274;-39.15;-2.01;274;0;0
275;-72.41;-0.52;275;-0.01;0
276;-56.32;-1.36;276;0;0
277;-70.47;-0.52;277;0;0
278;-71.44;-0.52;278;0;0
279;-54.81;-1.36;279;-0.01;0
280;-55.57;-1.36;280;-0.01;0
281;54.05;-1.36;281;-0.01;-0.01
282;69.5;-0.52;282;0.02;-0.01
283;53.3;-1.36;283;0.01;-0.01
284;68.53;-0.52;284;0.01;-0.01
285;52.54;-1.36;285;0;-0.01
286;67.55;-0.52;286;0.02;-0.01
287;38.61;-2.01;287;0.02;-0.02
288;38.07;-2.01;288;0.03;-0.02
289;37.53;-2.01;289;0.03;-0.02
290;7.72;-2.66;290;0.01;-0.01
291;23.17;-2.44;291;0.02;-0.02
292;7.51;-2.66;292;0.01;-0.01
293;7.61;-2.66;293;0.01;-0.02
294;22.52;-2.44;294;0;0
295;22.84;-2.44;295;0.01;0
296;56.32;-1.36;296;0.01;0
297;72.41;-0.52;297;0.01;-0.01
298;55.57;-1.36;298;0;0
299;71.44;-0.52;299;0.01;0
300;54.81;-1.36;300;0;0
301;70.47;-0.52;301;0;0
302;40.23;-2.01;302;0;-0.1
303;39.69;-2.01;303;0;-0.08
304;39.15;-2.01;304;0;-0.07
305;8.05;-2.66;305;0;-0.05
306;24.14;-2.44;306;0;-0.04
307;7.94;-2.66;307;-0.01;-0.07
308;23.81;-2.44;308;-0.03;-0.07
309;7.83;-2.66;309;-0.04;-0.07
310;23.49;-2.44;310;-0.06;-0.07
311;-21.22;-2.44;311;-0.03;-0.08
312;-7.07;-2.66;312;-0.03;-0.1
313;-20.57;-2.44;313;-0.02;-0.08
314;-20.9;-2.44;314;-0.02;-0.1
315;-6.86;-2.66;315;-0.06;-0.09
316;-6.97;-2.66;316;-0.05;-0.08
317;-63.67;-0.52;317;-0.07;-0.1
318;-49.52;-1.36;318;-0.05;-0.1
319;-35.37;-2.01;319;-0.02;-0.04
320;-61.72;-0.52;320;-0.03;-0.05
321;-62.69;-0.52;321;-0.01;-0.04
322;-34.29;-2.01;322;-0.01;-0.05
323;-48.01;-1.36;323;-0.03;-0.04
324;-34.83;-2.01;324;-0.04;-0.05
325;-48.76;-1.36;325;-0.04;-0.04
326;-22.19;-2.44;326;-0.05;-0.06
327;-7.4;-2.66;327;0.06;-0.07
328;-21.87;-2.44;328;0.04;-0.07
329;-7.29;-2.66;329;0.03;-0.07
330;-21.55;-2.44;330;0.01;-0.07
331;-7.18;-2.66;331;0.05;-0.08
332;-36.99;-2.01;332;0.05;-0.1
333;-36.45;-2.01;333;0.06;-0.09
334;-35.91;-2.01;334;0.07;-0.1
335;-66.58;-0.52;335;0.03;-0.08
336;-51.79;-1.36;336;0.03;-0.1
337;-65.61;-0.52;337;0.02;-0.08
338;-51.03;-1.36;338;0.02;-0.1
339;-64.64;-0.52;339;0.03;-0.04
340;-50.27;-1.36;340;0.04;-0.05
341;49.52;-1.36;341;0.04;-0.04
342;63.67;-0.52;342;0.05;-0.06
343;48.01;-1.36;343;0.02;-0.04
344;48.76;-1.36;344;0.03;-0.05
345;61.72;-0.52;345;0.01;-0.04
346;62.69;-0.52;346;0.01;-0.05
347;35.37;-2.01;347;-0.11;-0.26
348;34.83;-2.01;348;-0.08;-0.26
349;34.29;-2.01;349;-0.05;-0.26
350;7.07;-2.66;350;-0.03;-0.26
351;21.22;-2.44;351;0;-0.26
352;6.86;-2.66;352;0.03;-0.26
353;6.97;-2.66;353;0.05;-0.26
354;20.57;-2.44;354;0.08;-0.26
355;20.9;-2.44;355;0.11;-0.26
356;51.79;-1.36;356;0;-0.23
357;66.58;-0.52;357;0;-0.2
358;51.03;-1.36;358;0;-0.18
359;65.61;-0.52;359;0;-0.16
360;50.27;-1.36;360;0;-0.14
361;64.64;-0.52;361;-0.02;-0.18
362;36.99;-2.01;362;-0.05;-0.18
363;36.45;-2.01;363;-0.07;-0.18
364;35.91;-2.01;364;-0.09;-0.18
