elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-26.76;-2.36;1;0.35;-4.65
2;-8.92;-2.56;2;0.35;-4.57
3;-26.27;-2.25;3;0.35;-4.5
4;-8.8;-2.6;4;0.35;-4.43
5;-25.79;-2.16;5;0.35;-4.36
6;-8.62;-2.47;6;0.35;-4.29
7;-44.27;-1.72;7;0.34;-4.22
8;-43.46;-1.6;8;0.34;-4.15
9;-42.78;-1.61;9;0.34;-4.09
10;-77.23;-0.09;10;0.34;-4.02
11;-61.1;-0.77;11;0.34;-3.95
12;-76.83;-0.21;12;0.34;-3.88
13;-60.27;-0.84;13;0.34;-3.81
14;-76.29;-0.32;14;0.34;-3.74
15;-59.56;-0.95;15;0.34;-3.67
16;-25.1;1.98;16;0.34;-3.61
17;-8.34;2.89;17;0.34;-3.54
18;-26.31;-0.9;18;0.34;-3.47
19;-8.73;-0.29;19;0.33;-3.4
20;-26.82;-2.13;20;0.33;-3.34
21;-8.92;-1.99;21;0.33;-3.27
22;-42.23;0.02;22;0.33;-3.2
23;-44.19;-2.08;23;0.33;-3.14
24;-45.05;-2.19;24;0.33;-3.07
25;-84.81;-8.43;25;0.33;-3.01
26;-59.77;-3.65;26;0.32;-2.94
27;-77.56;0;27;0.32;-2.88
28;-78.63;-0.85;28;0.32;-2.81
29;-62.24;-1.19;29;0.32;-2.75
30;-63.89;-3.38;30;0.32;-2.68
31;61.1;-0.77;31;0.31;-2.62
32;77.23;-0.09;32;0.31;-2.56
33;60.27;-0.84;33;0.31;-2.49
34;76.83;-0.21;34;0.31;-2.43
35;59.56;-0.95;35;0.31;-2.37
36;76.29;-0.32;36;0.3;-2.31
37;44.27;-1.72;37;0.3;-2.25
38;43.46;-1.6;38;0.3;-2.19
39;42.78;-1.61;39;0.3;-2.13
40;8.92;-2.56;40;0.29;-2.07
41;26.76;-2.36;41;0.29;-2.01
42;8.62;-2.47;42;0.29;-1.95
43;8.8;-2.6;43;0.28;-1.89
44;25.79;-2.16;44;0.28;-1.84
45;26.27;-2.25;45;0.28;-1.78
46;59.77;-3.65;46;0.28;-1.73
47;84.81;-8.43;47;0.27;-1.67
48;63.89;-3.38;48;0.27;-1.62
49;78.63;-0.85;49;0.27;-1.56
50;62.24;-1.19;50;0.26;-1.51
51;77.56;0;51;0.26;-1.46
52;42.23;0.02;52;0.26;-1.4
53;44.19;-2.08;53;0.25;-1.35
54;45.05;-2.19;54;0.25;-1.3
55;8.34;2.89;55;0.24;-1.25
56;25.1;1.98;56;0.24;-1.2
57;8.73;-0.29;57;0.24;-1.16
58;26.31;-0.9;58;0.23;-1.11
59;8.92;-1.99;59;0.23;-1.06
60;26.82;-2.13;60;0.23;-1.02
61;-24.44;-2.04;61;0.22;-0.97
62;-8.15;-2.23;62;0.22;-0.93
63;-23.89;-2.04;63;0.21;-0.88
64;-24.17;-2.04;64;0.21;-0.84
65;-7.97;-2.22;65;0.2;-0.8
66;-8.06;-2.22;66;0.2;-0.76
67;-73.3;-0.43;67;0.2;-0.72
68;-57.01;-1.13;68;0.19;-0.68
69;-40.73;-1.67;69;0.19;-0.64
70;-71.69;-0.43;70;0.18;-0.61
71;-72.5;-0.43;71;0.18;-0.57
72;-39.82;-1.68;72;0.17;-0.54
73;-55.75;-1.14;73;0.17;-0.5
74;-40.28;-1.67;74;0.16;-0.47
75;-56.38;-1.13;75;0.16;-0.44
76;-25.38;-2.1;76;0.15;-0.41
77;-8.47;-2.35;77;0.15;-0.38
78;-24.73;-2.05;78;0.14;-0.35
79;-25.03;-2.06;79;0.14;-0.32
80;-8.25;-2.25;80;0.13;-0.29
81;-8.35;-2.28;81;0.12;-0.27
82;-42.19;-1.63;82;0.12;-0.24
83;-41.67;-1.65;83;0.11;-0.22
84;-41.19;-1.67;84;0.11;-0.2
85;-75.62;-0.38;85;0.1;-0.18
86;-58.91;-1.04;86;0.1;-0.16
87;-74.88;-0.41;87;0.09;-0.14
88;-58.27;-1.09;88;0.08;-0.12
89;-74.1;-0.43;89;0.08;-0.1
90;-57.64;-1.12;90;0.07;-0.09
91;57.01;-1.13;91;0.07;-0.07
92;73.3;-0.43;92;0.06;-0.06
93;56.38;-1.13;93;0.05;-0.05
94;72.5;-0.43;94;0.05;-0.04
95;55.75;-1.14;95;0.04;-0.03
