elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-24,89;-2,16;1;0,35;-4,7
2;-8,29;-2,34;2;0,35;-4,62
3;-24,46;-2,07;3;0,35;-4,55
4;-8,19;-2,37;4;0,35;-4,48
5;-24,04;-2;5;0,35;-4,41
6;-8,03;-2,27;6;0,35;-4,34
7;-41,22;-1,61;7;0,35;-4,27
8;-40,51;-1,51;8;0,35;-4,2
9;-39,9;-1,51;9;0,35;-4,13
10;-72,19;-0,12;10;0,35;-4,06
11;-57;-0,77;11;0,35;-3,99
12;-71,77;-0,23;12;0,35;-3,92
13;-56,24;-0,82;13;0,34;-3,85
14;-71,23;-0,31;14;0,34;-3,79
15;-55,59;-0,91;15;0,34;-3,72
16;-23,52;1,5;16;0,34;-3,65
17;-7,81;2,25;17;0,34;-3,58
18;-24,51;-0,92;18;0,34;-3,51
19;-8,14;-0,41;19;0,34;-3,44
20;-24,94;-1,96;20;0,34;-3,37
21;-8,3;-1,84;21;0,34;-3,31
22;-39,54;-0,14;22;0,33;-3,24
23;-41,18;-1,9;23;0,33;-3,17
24;-41,88;-2;24;0,33;-3,11
25;-78,87;-7,13;25;0,33;-3,04
26;-56,01;-3,19;26;0,33;-2,97
27;-72,57;-0,06;27;0,33;-2,91
28;-73,61;-0,79;28;0,32;-2,84
29;-58,01;-1,13;29;0,32;-2,78
30;-59,39;-2,98;30;0,32;-2,71
31;57;-0,77;31;0,32;-2,65
32;72,19;-0,12;32;0,32;-2,59
33;56,24;-0,82;33;0,31;-2,52
34;71,77;-0,23;34;0,31;-2,46
35;55,59;-0,91;35;0,31;-2,4
36;71,23;-0,31;36;0,31;-2,34
37;41,22;-1,61;37;0,3;-2,27
38;40,51;-1,51;38;0,3;-2,21
39;39,9;-1,51;39;0,3;-2,15
40;8,29;-2,34;40;0,3;-2,09
41;24,89;-2,16;41;0,29;-2,03
42;8,03;-2,27;42;0,29;-1,97
43;8,19;-2,37;43;0,29;-1,92
44;24,04;-2;44;0,29;-1,86
45;24,46;-2,07;45;0,28;-1,8
46;56,01;-3,19;46;0,28;-1,75
47;78,87;-7,13;47;0,28;-1,69
48;59,39;-2,98;48;0,27;-1,63
49;73,61;-0,79;49;0,27;-1,58
50;58,01;-1,13;50;0,27;-1,53
51;72,57;-0,06;51;0,26;-1,47
52;39,54;-0,14;52;0,26;-1,42
53;41,18;-1,9;53;0,26;-1,37
54;41,88;-2;54;0,25;-1,32
55;7,81;2,25;55;0,25;-1,27
56;23,52;1,5;56;0,24;-1,22
57;8,14;-0,41;57;0,24;-1,17
58;24,51;-0,92;58;0,24;-1,12
59;8,3;-1,84;59;0,23;-1,08
60;24,94;-1,96;60;0,23;-1,03
61;-22,81;-1,9;61;0,22;-0,98
62;-7,61;-2,08;62;0,22;-0,94
63;-22,3;-1,9;63;0,22;-0,9
64;-22,56;-1,9;64;0,21;-0,85
