elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-13.31;-1.15;1;0.15;-2.01
2;-4.43;-1.24;2;0.15;-1.98
3;-13.09;-1.1;3;0.15;-1.95
4;-4.38;-1.26;4;0.15;-1.92
5;-12.87;-1.07;5;0.15;-1.89
6;-4.3;-1.21;6;0.15;-1.86
7;-22.06;-0.86;7;0.15;-1.83
8;-21.69;-0.81;8;0.15;-1.8
9;-21.37;-0.81;9;0.15;-1.77
10;-38.7;-0.08;10;0.15;-1.74
11;-30.52;-0.43;11;0.15;-1.71
12;-38.46;-0.13;12;0.15;-1.68
13;-30.13;-0.45;13;0.15;-1.65
14;-38.17;-0.17;14;0.15;-1.62
15;-29.78;-0.49;15;0.15;-1.59
16;-12.62;0.7;16;0.15;-1.56
17;-4.19;1.08;17;0.15;-1.53
18;-13.12;-0.51;18;0.15;-1.5
19;-4.36;-0.26;19;0.15;-1.48
20;-13.34;-1.04;20;0.14;-1.45
21;-4.44;-0.99;21;0.14;-1.42
22;-21.22;-0.12;22;0.14;-1.39
23;-22.05;-1.01;23;0.14;-1.36
24;-22.39;-1.06;24;0.14;-1.33
25;-42.17;-3.62;25;0.14;-1.3
26;-30.07;-1.65;26;0.14;-1.27
27;-38.92;-0.05;27;0.14;-1.25
28;-39.49;-0.42;28;0.14;-1.22
29;-31.06;-0.61;29;0.14;-1.19
30;-31.76;-1.54;30;0.14;-1.16
31;30.52;-0.43;31;0.14;-1.14
32;38.7;-0.08;32;0.14;-1.11
33;30.13;-0.45;33;0.13;-1.08
34;38.46;-0.13;34;0.13;-1.05
35;29.78;-0.49;35;0.13;-1.03
36;38.17;-0.17;36;0.13;-1
37;22.06;-0.86;37;0.13;-0.97
38;21.69;-0.81;38;0.13;-0.95
39;21.37;-0.81;39;0.13;-0.92
40;4.43;-1.24;40;0.13;-0.9
41;13.31;-1.15;41;0.13;-0.87
42;4.3;-1.21;42;0.12;-0.85
43;4.38;-1.26;43;0.12;-0.82
44;12.87;-1.07;44;0.12;-0.8
45;13.09;-1.1;45;0.12;-0.77
46;30.07;-1.65;46;0.12;-0.75
47;42.17;-3.62;47;0.12;-0.72
48;31.76;-1.54;48;0.12;-0.7
49;39.49;-0.42;49;0.12;-0.68
50;31.06;-0.61;50;0.11;-0.65
51;38.92;-0.05;51;0.11;-0.63
52;21.22;-0.12;52;0.11;-0.61
53;22.05;-1.01;53;0.11;-0.59
54;22.39;-1.06;54;0.11;-0.57
55;4.19;1.08;55;0.11;-0.54
56;12.62;0.7;56;0.1;-0.52
57;4.36;-0.26;57;0.1;-0.5
58;13.12;-0.51;58;0.1;-0.48
59;4.44;-0.99;59;0.1;-0.46
60;13.34;-1.04;60;0.1;-0.44
61;-12.22;-1.02;61;0.1;-0.42
62;-4.07;-1.11;62;0.09;-0.4
63;-11.95;-1.02;63;0.09;-0.38
64;-12.08;-1.02;64;0.09;-0.37
65;-3.98;-1.11;65;0.09;-0.35
66;-4.03;-1.11;66;0.09;-0.33
67;-36.65;-0.22;67;0.08;-0.31
68;-28.51;-0.57;68;0.08;-0.3
69;-20.36;-0.84;69;0.08;-0.28
70;-35.84;-0.22;70;0.08;-0.26
71;-36.25;-0.22;71;0.08;-0.25
72;-19.91;-0.84;72;0.07;-0.23
73;-27.88;-0.57;73;0.07;-0.22
74;-20.14;-0.84;74;0.07;-0.2
75;-28.19;-0.57;75;0.07;-0.19
76;-12.68;-1.04;76;0.07;-0.18
77;-4.23;-1.16;77;0.06;-0.16
78;-12.36;-1.02;78;0.06;-0.15
79;-12.51;-1.03;79;0.06;-0.14
80;-4.12;-1.12;80;0.06;-0.13
81;-4.17;-1.14;81;0.05;-0.12
82;-21.08;-0.82;82;0.05;-0.1
83;-20.83;-0.83;83;0.05;-0.09
84;-20.59;-0.83;84;0.05;-0.08
85;-37.82;-0.19;85;0.04;-0.08
86;-29.45;-0.53;86;0.04;-0.07
87;-37.44;-0.21;87;0.04;-0.06
88;-29.14;-0.55;88;0.04;-0.05
89;-37.05;-0.21;89;0.03;-0.04
90;-28.82;-0.56;90;0.03;-0.04
91;28.51;-0.57;91;0.03;-0.03
92;36.65;-0.22;92;0.03;-0.03
93;28.19;-0.57;93;0.02;-0.02
94;36.25;-0.22;94;0.02;-0.02
95;27.88;-0.57;95;0.02;-0.01
96;35.84;-0.22;96;0.01;-0.01
97;20.36;-0.84;97;0.01;-0.01
98;20.14;-0.84;98;0.01;0
99;19.91;-0.84;99;0.01;0
100;4.07;-1.11;100;0;0
101;12.22;-1.02;101;0;0
102;3.98;-1.11;102;0;0
103;4.03;-1.11;103;0;0
104;11.95;-1.02;104;0;0
105;12.08;-1.02;105;0;0
106;29.45;-0.53;106;0;0
107;37.82;-0.19;107;0;0
108;28.82;-0.56;108;0;0
109;29.14;-0.55;109;0;0
110;37.05;-0.21;110;0;0
111;37.44;-0.21;111;0;0
112;21.08;-0.82;112;0;0
113;20.83;-0.83;113;-0.01;0
114;20.59;-0.83;114;-0.01;0
115;4.23;-1.16;115;-0.01;-0.01
116;12.68;-1.04;116;-0.01;-0.01
117;4.12;-1.12;117;-0.02;-0.01
118;4.17;-1.14;118;-0.02;-0.02
119;12.36;-1.02;119;-0.02;-0.02
120;12.51;-1.03;120;-0.03;-0.03
121;-11.41;-1.02;121;-0.03;-0.03
122;-3.8;-1.11;122;-0.03;-0.04
123;-11.14;-1.02;123;-0.03;-0.04
124;-11.27;-1.02;124;-0.04;-0.05
125;-3.71;-1.11;125;-0.04;-0.06
126;-3.76;-1.11;126;-0.04;-0.07
127;-19.01;-0.84;127;-0.04;-0.08
128;-18.79;-0.84;128;-0.05;-0.08
129;-18.56;-0.84;129;-0.05;-0.09
130;-34.22;-0.22;130;-0.05;-0.1
131;-26.62;-0.57;131;-0.05;-0.12
132;-33.82;-0.22;132;-0.06;-0.13
133;-26.3;-0.57;133;-0.06;-0.14
134;-33.41;-0.22;134;-0.06;-0.15
135;-25.99;-0.57;135;-0.06;-0.16
136;-11.81;-1.02;136;-0.07;-0.18
137;-3.94;-1.11;137;-0.07;-0.19
138;-11.68;-1.02;138;-0.07;-0.2
139;-3.89;-1.11;139;-0.07;-0.22
140;-11.54;-1.02;140;-0.07;-0.23
141;-3.85;-1.11;141;-0.08;-0.25
142;-19.69;-0.84;142;-0.08;-0.26
143;-19.46;-0.84;143;-0.08;-0.28
144;-19.24;-0.84;144;-0.08;-0.3
145;-35.44;-0.22;145;-0.08;-0.31
146;-27.56;-0.57;146;-0.09;-0.33
147;-34.63;-0.22;147;-0.09;-0.35
148;-35.03;-0.22;148;-0.09;-0.37
149;-26.93;-0.57;149;-0.09;-0.38
150;-27.25;-0.57;150;-0.09;-0.4
151;26.62;-0.57;151;-0.1;-0.42
152;34.22;-0.22;152;-0.1;-0.44
153;25.99;-0.57;153;-0.1;-0.46
154;26.3;-0.57;154;-0.1;-0.48
155;33.41;-0.22;155;-0.1;-0.5
156;33.82;-0.22;156;-0.1;-0.52
157;19.01;-0.84;157;-0.11;-0.54
158;18.79;-0.84;158;-0.11;-0.57
159;18.56;-0.84;159;-0.11;-0.59
160;3.8;-1.11;160;-0.11;-0.61
161;11.41;-1.02;161;-0.11;-0.63
162;3.71;-1.11;162;-0.11;-0.65
163;3.76;-1.11;163;-0.12;-0.68
164;11.14;-1.02;164;-0.12;-0.7
165;11.27;-1.02;165;-0.12;-0.72
166;27.56;-0.57;166;-0.12;-0.75
167;35.44;-0.22;167;-0.12;-0.77
168;27.25;-0.57;168;-0.12;-0.8
169;35.03;-0.22;169;-0.12;-0.82
170;26.93;-0.57;170;-0.12;-0.85
171;34.63;-0.22;171;-0.13;-0.87
172;19.69;-0.84;172;-0.13;-0.9
173;19.46;-0.84;173;-0.13;-0.92
174;19.24;-0.84;174;-0.13;-0.95
175;3.94;-1.11;175;-0.13;-0.97
176;11.81;-1.02;176;-0.13;-1
177;3.89;-1.11;177;-0.13;-1.03
178;11.68;-1.02;178;-0.13;-1.05
179;3.85;-1.11;179;-0.13;-1.08
180;11.54;-1.02;180;-0.14;-1.11
181;-10.46;-1.02;181;-0.14;-1.14
182;-3.49;-1.11;182;-0.14;-1.16
183;-10.33;-1.02;183;-0.14;-1.19
184;-3.44;-1.11;184;-0.14;-1.22
185;-10.19;-1.02;185;-0.14;-1.25
186;-3.4;-1.11;186;-0.14;-1.27
187;-17.44;-0.84;187;-0.14;-1.3
188;-17.21;-0.84;188;-0.14;-1.33
189;-16.99;-0.84;189;-0.14;-1.36
190;-31.39;-0.22;190;-0.14;-1.39
191;-24.41;-0.57;191;-0.14;-1.42
192;-30.98;-0.22;192;-0.14;-1.45
193;-24.1;-0.57;193;-0.15;-1.48
194;-30.58;-0.22;194;-0.15;-1.5
195;-23.78;-0.57;195;-0.15;-1.53
196;-10.87;-1.02;196;-0.15;-1.56
197;-11;-1.02;197;-0.15;-1.59
198;-3.62;-1.11;198;-0.15;-1.62
199;-3.67;-1.11;199;-0.15;-1.65
200;-10.73;-1.02;200;-0.15;-1.68
201;-3.58;-1.11;201;-0.15;-1.71
202;-10.6;-1.02;202;-0.15;-1.74
203;-3.53;-1.11;203;-0.15;-1.77
204;-32.6;-0.22;204;-0.15;-1.8
205;-33.01;-0.22;205;-0.15;-1.83
206;-25.36;-0.57;206;-0.15;-1.86
